galaxy_id,distance_mpc,inclination_deg,luminosity_3p6_lsun,disk_scale_length_kpc,central_surface_brightness,morphological_type,photometry_quality_flag,metadata_source,data_mode,source_table,source_notes
CamB,3.36,65.0,0.075,0.47,66.2,10.0,vizier_table1,VizieR_J_AJ_152_157_table1_working_copy,phase_4j_photometry_metadata,J/AJ/152/157/table1,CDS/VizieR transport of Lelli+2016 Table 1; cite AJ paper and SPARC site for science.
D512-2,15.2,56.0,0.325,1.24,93.94,10.0,vizier_table1,VizieR_J_AJ_152_157_table1_working_copy,phase_4j_photometry_metadata,J/AJ/152/157/table1,CDS/VizieR transport of Lelli+2016 Table 1; cite AJ paper and SPARC site for science.
D564-8,8.79,63.0,0.033,0.61,21.13,10.0,vizier_table1,VizieR_J_AJ_152_157_table1_working_copy,phase_4j_photometry_metadata,J/AJ/152/157/table1,CDS/VizieR transport of Lelli+2016 Table 1; cite AJ paper and SPARC site for science.
D631-7,7.72,59.0,0.196,0.7,115.04,10.0,vizier_table1,VizieR_J_AJ_152_157_table1_working_copy,phase_4j_photometry_metadata,J/AJ/152/157/table1,CDS/VizieR transport of Lelli+2016 Table 1; cite AJ paper and SPARC site for science.
DDO064,6.8,60.0,0.157,0.69,151.65,10.0,vizier_table1,VizieR_J_AJ_152_157_table1_working_copy,phase_4j_photometry_metadata,J/AJ/152/157/table1,CDS/VizieR transport of Lelli+2016 Table 1; cite AJ paper and SPARC site for science.
DDO154,4.04,64.0,0.053,0.37,71.26,10.0,vizier_table1,VizieR_J_AJ_152_157_table1_working_copy,phase_4j_photometry_metadata,J/AJ/152/157/table1,CDS/VizieR transport of Lelli+2016 Table 1; cite AJ paper and SPARC site for science.
DDO161,7.5,70.0,0.548,1.22,169.37,10.0,vizier_table1,VizieR_J_AJ_152_157_table1_working_copy,phase_4j_photometry_metadata,J/AJ/152/157/table1,CDS/VizieR transport of Lelli+2016 Table 1; cite AJ paper and SPARC site for science.
DDO168,4.25,63.0,0.191,1.02,92.22,10.0,vizier_table1,VizieR_J_AJ_152_157_table1_working_copy,phase_4j_photometry_metadata,J/AJ/152/157/table1,CDS/VizieR transport of Lelli+2016 Table 1; cite AJ paper and SPARC site for science.
DDO170,15.4,66.0,0.543,1.95,73.93,10.0,vizier_table1,VizieR_J_AJ_152_157_table1_working_copy,phase_4j_photometry_metadata,J/AJ/152/157/table1,CDS/VizieR transport of Lelli+2016 Table 1; cite AJ paper and SPARC site for science.
ESO079-G014,28.7,79.0,51.733,5.08,2295.25,4.0,vizier_table1,VizieR_J_AJ_152_157_table1_working_copy,phase_4j_photometry_metadata,J/AJ/152/157/table1,CDS/VizieR transport of Lelli+2016 Table 1; cite AJ paper and SPARC site for science.
ESO116-G012,13.0,74.0,4.292,1.51,1320.78,7.0,vizier_table1,VizieR_J_AJ_152_157_table1_working_copy,phase_4j_photometry_metadata,J/AJ/152/157/table1,CDS/VizieR transport of Lelli+2016 Table 1; cite AJ paper and SPARC site for science.
ESO444-G084,4.83,32.0,0.071,0.46,66.81,10.0,vizier_table1,VizieR_J_AJ_152_157_table1_working_copy,phase_4j_photometry_metadata,J/AJ/152/157/table1,CDS/VizieR transport of Lelli+2016 Table 1; cite AJ paper and SPARC site for science.
ESO563-G021,60.8,83.0,311.177,5.45,6558.89,4.0,vizier_table1,VizieR_J_AJ_152_157_table1_working_copy,phase_4j_photometry_metadata,J/AJ/152/157/table1,CDS/VizieR transport of Lelli+2016 Table 1; cite AJ paper and SPARC site for science.
F561-1,66.4,24.0,4.077,2.79,93.07,9.0,vizier_table1,VizieR_J_AJ_152_157_table1_working_copy,phase_4j_photometry_metadata,J/AJ/152/157/table1,CDS/VizieR transport of Lelli+2016 Table 1; cite AJ paper and SPARC site for science.
F563-1,48.9,25.0,1.903,3.52,41.77,9.0,vizier_table1,VizieR_J_AJ_152_157_table1_working_copy,phase_4j_photometry_metadata,J/AJ/152/157/table1,CDS/VizieR transport of Lelli+2016 Table 1; cite AJ paper and SPARC site for science.
F563-V1,54.0,60.0,1.54,3.79,40.63,10.0,vizier_table1,VizieR_J_AJ_152_157_table1_working_copy,phase_4j_photometry_metadata,J/AJ/152/157/table1,CDS/VizieR transport of Lelli+2016 Table 1; cite AJ paper and SPARC site for science.
F563-V2,59.7,29.0,2.986,2.43,146.16,10.0,vizier_table1,VizieR_J_AJ_152_157_table1_working_copy,phase_4j_photometry_metadata,J/AJ/152/157/table1,CDS/VizieR transport of Lelli+2016 Table 1; cite AJ paper and SPARC site for science.
F565-V2,51.8,60.0,0.559,2.17,40.26,10.0,vizier_table1,VizieR_J_AJ_152_157_table1_working_copy,phase_4j_photometry_metadata,J/AJ/152/157/table1,CDS/VizieR transport of Lelli+2016 Table 1; cite AJ paper and SPARC site for science.
F567-2,79.0,20.0,2.134,3.08,46.65,9.0,vizier_table1,VizieR_J_AJ_152_157_table1_working_copy,phase_4j_photometry_metadata,J/AJ/152/157/table1,CDS/VizieR transport of Lelli+2016 Table 1; cite AJ paper and SPARC site for science.
F568-1,90.7,26.0,6.252,5.18,57.13,5.0,vizier_table1,VizieR_J_AJ_152_157_table1_working_copy,phase_4j_photometry_metadata,J/AJ/152/157/table1,CDS/VizieR transport of Lelli+2016 Table 1; cite AJ paper and SPARC site for science.
F568-3,82.4,40.0,8.346,4.99,132.08,7.0,vizier_table1,VizieR_J_AJ_152_157_table1_working_copy,phase_4j_photometry_metadata,J/AJ/152/157/table1,CDS/VizieR transport of Lelli+2016 Table 1; cite AJ paper and SPARC site for science.
F568-V1,80.6,40.0,3.825,2.85,90.54,7.0,vizier_table1,VizieR_J_AJ_152_157_table1_working_copy,phase_4j_photometry_metadata,J/AJ/152/157/table1,CDS/VizieR transport of Lelli+2016 Table 1; cite AJ paper and SPARC site for science.
F571-8,53.3,85.0,10.164,3.56,87.26,5.0,vizier_table1,VizieR_J_AJ_152_157_table1_working_copy,phase_4j_photometry_metadata,J/AJ/152/157/table1,CDS/VizieR transport of Lelli+2016 Table 1; cite AJ paper and SPARC site for science.
F571-V1,80.1,30.0,1.849,2.47,64.39,7.0,vizier_table1,VizieR_J_AJ_152_157_table1_working_copy,phase_4j_photometry_metadata,J/AJ/152/157/table1,CDS/VizieR transport of Lelli+2016 Table 1; cite AJ paper and SPARC site for science.
F574-1,96.8,65.0,6.537,4.46,128.48,7.0,vizier_table1,VizieR_J_AJ_152_157_table1_working_copy,phase_4j_photometry_metadata,J/AJ/152/157/table1,CDS/VizieR transport of Lelli+2016 Table 1; cite AJ paper and SPARC site for science.
F574-2,89.1,30.0,2.877,3.76,41.38,9.0,vizier_table1,VizieR_J_AJ_152_157_table1_working_copy,phase_4j_photometry_metadata,J/AJ/152/157/table1,CDS/VizieR transport of Lelli+2016 Table 1; cite AJ paper and SPARC site for science.
F579-V1,89.5,26.0,11.848,3.37,201.76,5.0,vizier_table1,VizieR_J_AJ_152_157_table1_working_copy,phase_4j_photometry_metadata,J/AJ/152/157/table1,CDS/VizieR transport of Lelli+2016 Table 1; cite AJ paper and SPARC site for science.
F583-1,35.4,63.0,0.986,2.36,60.93,9.0,vizier_table1,VizieR_J_AJ_152_157_table1_working_copy,phase_4j_photometry_metadata,J/AJ/152/157/table1,CDS/VizieR transport of Lelli+2016 Table 1; cite AJ paper and SPARC site for science.
F583-4,53.3,55.0,1.715,1.93,83.34,5.0,vizier_table1,VizieR_J_AJ_152_157_table1_working_copy,phase_4j_photometry_metadata,J/AJ/152/157/table1,CDS/VizieR transport of Lelli+2016 Table 1; cite AJ paper and SPARC site for science.
IC2574,3.91,75.0,1.016,2.78,80.32,9.0,vizier_table1,VizieR_J_AJ_152_157_table1_working_copy,phase_4j_photometry_metadata,J/AJ/152/157/table1,CDS/VizieR transport of Lelli+2016 Table 1; cite AJ paper and SPARC site for science.
IC4202,100.4,90.0,179.749,4.78,8888.53,4.0,vizier_table1,VizieR_J_AJ_152_157_table1_working_copy,phase_4j_photometry_metadata,J/AJ/152/157/table1,CDS/VizieR transport of Lelli+2016 Table 1; cite AJ paper and SPARC site for science.
KK98-251,6.8,59.0,0.085,1.34,52.1,10.0,vizier_table1,VizieR_J_AJ_152_157_table1_working_copy,phase_4j_photometry_metadata,J/AJ/152/157/table1,CDS/VizieR transport of Lelli+2016 Table 1; cite AJ paper and SPARC site for science.
NGC0024,7.3,64.0,3.889,1.34,1182.58,5.0,vizier_table1,VizieR_J_AJ_152_157_table1_working_copy,phase_4j_photometry_metadata,J/AJ/152/157/table1,CDS/VizieR transport of Lelli+2016 Table 1; cite AJ paper and SPARC site for science.
NGC0055,2.11,77.0,4.628,6.11,391.59,9.0,vizier_table1,VizieR_J_AJ_152_157_table1_working_copy,phase_4j_photometry_metadata,J/AJ/152/157/table1,CDS/VizieR transport of Lelli+2016 Table 1; cite AJ paper and SPARC site for science.
