galaxy_id,source_file,distance_mpc,r_kpc,v_obs_kms,v_err_kms,v_gas_kms,v_disk_kms,v_bulge_kms,sb_disk_lpc2,sb_bulge_lpc2,v_bar_kms,residual_v2_kms2,quality_flag,data_source,data_mode
CamB,CamB_rotmod.dat,3.36,0.16,1.99,1.5,1.86,3.75,0.0,30.32,0.0,4.185940754478018,-13.562000000000001,ok,SPARC_Lelli2016,observational_raw_ingestion
CamB,CamB_rotmod.dat,3.36,0.41,4.84,1.5,4.24,9.47,0.0,23.77,0.0,10.375861410022784,-84.2329,ok,SPARC_Lelli2016,observational_raw_ingestion
CamB,CamB_rotmod.dat,3.36,0.57,6.79,1.5,5.61,11.76,0.0,15.87,0.0,13.029570215475259,-123.66559999999997,ok,SPARC_Lelli2016,observational_raw_ingestion
CamB,CamB_rotmod.dat,3.36,0.73,8.87,1.5,6.77,13.72,0.0,12.4,0.0,15.299388876683931,-155.39440000000002,ok,SPARC_Lelli2016,observational_raw_ingestion
CamB,CamB_rotmod.dat,3.36,0.9,10.9,1.5,7.77,14.8,0.0,9.63,0.0,16.715648357153245,-160.60289999999998,ok,SPARC_Lelli2016,observational_raw_ingestion
CamB,CamB_rotmod.dat,3.36,1.06,12.9,1.5,8.44,15.24,0.0,5.86,0.0,17.420998823259247,-137.08120000000005,ok,SPARC_Lelli2016,observational_raw_ingestion
CamB,CamB_rotmod.dat,3.36,1.22,14.7,1.5,8.64,15.11,0.0,5.19,0.0,17.405795012006777,-86.87170000000003,ok,SPARC_Lelli2016,observational_raw_ingestion
CamB,CamB_rotmod.dat,3.36,1.47,16.8,1.5,8.08,15.9,0.0,3.02,0.0,17.835257217096704,-35.856400000000065,ok,SPARC_Lelli2016,observational_raw_ingestion
CamB,CamB_rotmod.dat,3.36,1.79,20.1,1.5,6.91,14.91,0.0,0.88,0.0,16.433386747715762,133.9538,ok,SPARC_Lelli2016,observational_raw_ingestion
D512-2,D512-2_rotmod.dat,15.2,0.96,22.9,2.71,4.08,14.85,0.0,16.45,0.0,15.400288958328021,287.24109999999996,ok,SPARC_Lelli2016,observational_raw_ingestion
D512-2,D512-2_rotmod.dat,15.2,1.92,33.5,2.71,6.24,21.2,0.0,7.4,0.0,22.099266956168478,633.8724,ok,SPARC_Lelli2016,observational_raw_ingestion
D512-2,D512-2_rotmod.dat,15.2,2.88,37.2,4.19,7.45,20.56,0.0,2.72,0.0,21.86815264259878,905.6239000000002,ok,SPARC_Lelli2016,observational_raw_ingestion
D512-2,D512-2_rotmod.dat,15.2,3.83,35.9,5.98,8.09,20.08,0.0,1.79,0.0,21.64842950423887,820.1555,ok,SPARC_Lelli2016,observational_raw_ingestion
D564-8,D564-8_rotmod.dat,8.79,0.51,8.54,1.53,3.47,6.36,0.0,6.37,0.0,7.245032781154272,20.441099999999985,ok,SPARC_Lelli2016,observational_raw_ingestion
D564-8,D564-8_rotmod.dat,8.79,1.02,15.1,1.41,5.33,8.66,0.0,2.82,0.0,10.168800322555262,124.60549999999999,ok,SPARC_Lelli2016,observational_raw_ingestion
D564-8,D564-8_rotmod.dat,8.79,1.53,19.8,1.8,6.34,9.09,0.0,1.19,0.0,11.082585438425458,269.21630000000005,ok,SPARC_Lelli2016,observational_raw_ingestion
D564-8,D564-8_rotmod.dat,8.79,2.04,21.9,1.82,6.86,8.75,0.0,0.52,0.0,11.118547567016117,355.98789999999997,ok,SPARC_Lelli2016,observational_raw_ingestion
D564-8,D564-8_rotmod.dat,8.79,2.56,24.0,1.89,7.05,8.17,0.0,0.22,0.0,10.791264986089443,459.5486,ok,SPARC_Lelli2016,observational_raw_ingestion
D564-8,D564-8_rotmod.dat,8.79,3.07,25.0,2.05,7.04,7.65,0.0,0.0,0.0,10.39635032114636,516.9159,ok,SPARC_Lelli2016,observational_raw_ingestion
D631-7,D631-7_rotmod.dat,7.72,0.45,8.41,1.58,8.4,9.99,0.0,26.06,0.0,13.052206709978202,-99.63200000000002,ok,SPARC_Lelli2016,observational_raw_ingestion
D631-7,D631-7_rotmod.dat,7.72,0.9,17.8,2.22,13.51,15.52,0.0,19.64,0.0,20.57645499108143,-106.55049999999989,ok,SPARC_Lelli2016,observational_raw_ingestion
D631-7,D631-7_rotmod.dat,7.72,1.35,26.0,2.35,16.7,20.76,0.0,12.17,0.0,26.643340631384795,-33.867599999999925,ok,SPARC_Lelli2016,observational_raw_ingestion
D631-7,D631-7_rotmod.dat,7.72,1.8,30.9,2.22,18.72,21.37,0.0,4.5,0.0,28.40977472631559,147.6946999999999,ok,SPARC_Lelli2016,observational_raw_ingestion
D631-7,D631-7_rotmod.dat,7.72,2.25,34.7,1.82,19.9,19.92,0.0,2.1,0.0,28.156995578363823,411.27360000000033,ok,SPARC_Lelli2016,observational_raw_ingestion
D631-7,D631-7_rotmod.dat,7.72,2.69,38.8,1.81,20.61,18.76,0.0,1.13,0.0,27.869512015821158,728.7302999999999,ok,SPARC_Lelli2016,observational_raw_ingestion
D631-7,D631-7_rotmod.dat,7.72,3.14,42.5,1.57,20.73,17.36,0.0,0.54,0.0,27.03890715247197,1075.1475,ok,SPARC_Lelli2016,observational_raw_ingestion
D631-7,D631-7_rotmod.dat,7.72,3.59,45.6,1.59,20.61,16.32,0.0,0.37,0.0,26.289056658617476,1388.2455000000004,ok,SPARC_Lelli2016,observational_raw_ingestion
D631-7,D631-7_rotmod.dat,7.72,4.04,48.8,1.83,20.38,15.37,0.0,0.18,0.0,25.52609057415569,1729.8586999999998,ok,SPARC_Lelli2016,observational_raw_ingestion
D631-7,D631-7_rotmod.dat,7.72,4.49,51.8,1.91,19.9,14.49,0.0,0.1,0.0,24.616459940454476,2077.2699,ok,SPARC_Lelli2016,observational_raw_ingestion
D631-7,D631-7_rotmod.dat,7.72,4.94,54.8,2.19,19.43,13.72,0.0,0.05,0.0,23.785779364990336,2437.2766999999994,ok,SPARC_Lelli2016,observational_raw_ingestion
D631-7,D631-7_rotmod.dat,7.72,5.39,56.6,2.73,18.84,13.04,0.0,0.03,0.0,22.912599154177162,2678.5728,ok,SPARC_Lelli2016,observational_raw_ingestion
