#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-05-28T05:46:17 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-05-28T05:46:17	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/152/157/table1&-out=Name,Type,Dist,i,L3.6,Rdisk,SBdisk&-out.max=200	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51520157
#Name: J/AJ/152/157
#Title: Mass models for 175 disk galaxies with SPARC (Lelli+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/aj/152/157	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/152/157	    IVOID of underlying data collection
#INFO	creator=Lelli F.	    First author or institution
#INFO	cites=bibcode:2016AJ....152..157L	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/152/157	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51520157	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_152_157_table1:
#Name: J/AJ/152/157/table1
#Title: *Galaxy sample
#Column	Name	(a11)	Galaxy name	[ucd=meta.id;meta.main]
#Column	Type	(I2)	[0/11] Numerical Hubble type (1)	[ucd=meta.note]
#Column	Dist	(F6.2)	[0.98/127.8] Assumed distance	[ucd=pos.distance;pos.heliocentric]
#Column	i	(F4.1)	[15/90] Assumed inclination angle (3)	[ucd=src.orbital.inclination;pos.posAng]
#Column	L3.6	(F7.3)	[0/490] Total luminosity at 3.6{mu}m (L_[3.6]_)	[ucd=phys.luminosity;em.IR]
#Column	Rdisk	(F5.2)	[0.18/18.8] The 3.6{mu}m scale length of the stellar disk (R_d_)	[ucd=src.morph.scLength]
#Column	SBdisk	(F8.2)	[12/23813.9] Extrapolated 3.6{mu}m central surface brightness of the stellar disk ({Sigma}_d_)	[ucd=phot.mag.sb]
Name	Type	Dist	i	L3.6	Rdisk	SBdisk
 	 	Mpc	deg	GLsun	kpc	Lsun/pc2
CamB       	10	  3.36	65.0	  0.075	 0.47	   66.20
D512-2     	10	 15.20	56.0	  0.325	 1.24	   93.94
D564-8     	10	  8.79	63.0	  0.033	 0.61	   21.13
D631-7     	10	  7.72	59.0	  0.196	 0.70	  115.04
DDO064     	10	  6.80	60.0	  0.157	 0.69	  151.65
DDO154     	10	  4.04	64.0	  0.053	 0.37	   71.26
DDO161     	10	  7.50	70.0	  0.548	 1.22	  169.37
DDO168     	10	  4.25	63.0	  0.191	 1.02	   92.22
DDO170     	10	 15.40	66.0	  0.543	 1.95	   73.93
ESO079-G014	 4	 28.70	79.0	 51.733	 5.08	 2295.25
ESO116-G012	 7	 13.00	74.0	  4.292	 1.51	 1320.78
ESO444-G084	10	  4.83	32.0	  0.071	 0.46	   66.81
ESO563-G021	 4	 60.80	83.0	311.177	 5.45	 6558.89
F561-1     	 9	 66.40	24.0	  4.077	 2.79	   93.07
F563-1     	 9	 48.90	25.0	  1.903	 3.52	   41.77
F563-V1    	10	 54.00	60.0	  1.540	 3.79	   40.63
F563-V2    	10	 59.70	29.0	  2.986	 2.43	  146.16
F565-V2    	10	 51.80	60.0	  0.559	 2.17	   40.26
F567-2     	 9	 79.00	20.0	  2.134	 3.08	   46.65
F568-1     	 5	 90.70	26.0	  6.252	 5.18	   57.13
F568-3     	 7	 82.40	40.0	  8.346	 4.99	  132.08
F568-V1    	 7	 80.60	40.0	  3.825	 2.85	   90.54
F571-8     	 5	 53.30	85.0	 10.164	 3.56	   87.26
F571-V1    	 7	 80.10	30.0	  1.849	 2.47	   64.39
F574-1     	 7	 96.80	65.0	  6.537	 4.46	  128.48
F574-2     	 9	 89.10	30.0	  2.877	 3.76	   41.38
F579-V1    	 5	 89.50	26.0	 11.848	 3.37	  201.76
F583-1     	 9	 35.40	63.0	  0.986	 2.36	   60.93
F583-4     	 5	 53.30	55.0	  1.715	 1.93	   83.34
IC2574     	 9	  3.91	75.0	  1.016	 2.78	   80.32
IC4202     	 4	100.40	90.0	179.749	 4.78	 8888.53
KK98-251   	10	  6.80	59.0	  0.085	 1.34	   52.10
NGC0024    	 5	  7.30	64.0	  3.889	 1.34	 1182.58
NGC0055    	 9	  2.11	77.0	  4.628	 6.11	  391.59
NGC0100    	 6	 13.50	89.0	  3.232	 1.66	 1193.52
NGC0247    	 7	  3.70	74.0	  7.332	 3.74	  506.79
