galaxy_id,cohort_role,failure_mode_classification,in_sample_best_by_aic,in_sample_best_by_rmse,holdout_best_by_test_rmse,tdf_3knot_holdout_rmse_kms,tdf_5knot_holdout_rmse_kms,nfw_refit_holdout_rmse_kms,mond_fit_a0_holdout_rmse_kms,tdf_3knot_beats_nfw_holdout,primary_tdf_model,sensitivity_tdf_model,recommended_interpretation
DDO154,original_controlled_six,robust_tdf_success,tdf_5knot,tdf_5knot,tdf_5knot,2.028159188371044,1.440656863351654,3.561967042755863,3.983855795867608,True,tdf_3knot,tdf_5knot,"DDO154: primary tdf_3knot competitive on even/odd holdout (expansion_12; fixed baryons, fixed K_tau)."
DDO161,expansion_addition,robust_tdf_success,tdf_3knot,tdf_3knot,tdf_3knot,0.7151289715446965,0.7841944507640599,3.86591655404938,6.5537867781430394,True,tdf_3knot,tdf_5knot,"DDO161: primary tdf_3knot competitive on even/odd holdout (expansion_12; fixed baryons, fixed K_tau)."
IC2574,original_controlled_six,robust_tdf_success,tdf_5knot,tdf_5knot,tdf_5knot,2.9793596786436685,1.7320131025280074,6.387831692823304,6.294218833555061,True,tdf_3knot,tdf_5knot,"IC2574: primary tdf_3knot competitive on even/odd holdout (expansion_12; fixed baryons, fixed K_tau)."
NGC0289,expansion_addition,robust_tdf_success,tdf_3knot,tdf_3knot,tdf_5knot,19.81141504643472,19.540184103043764,21.914022135663032,22.947635102151164,True,tdf_3knot,tdf_5knot,"NGC0289: primary tdf_3knot competitive on even/odd holdout (expansion_12; fixed baryons, fixed K_tau)."
NGC2403,original_controlled_six,robust_tdf_success,tdf_5knot,tdf_5knot,tdf_5knot,8.658875535895875,3.437358704108327,9.756510426053667,14.241049062412163,True,tdf_3knot,tdf_5knot,"NGC2403: primary tdf_3knot competitive on even/odd holdout (expansion_12; fixed baryons, fixed K_tau)."
NGC3198,original_controlled_six,robust_tdf_success,tdf_5knot,tdf_5knot,tdf_5knot,10.447553817928686,8.238204406659758,11.997968698538358,14.338584781715824,True,tdf_3knot,tdf_5knot,"NGC3198: primary tdf_3knot competitive on even/odd holdout (expansion_12; fixed baryons, fixed K_tau)."
NGC5055,expansion_addition,tdf_failure_mode,tdf_5knot,tdf_5knot,tdf_5knot,142.86189186327752,19.55539758125486,56.87179718935645,55.36998125414223,False,tdf_3knot,tdf_5knot,NGC5055: canonical-style TDF holdout failure; report honestly (expansion_12 diagnostic).
NGC6503,original_controlled_six,robust_tdf_success,tdf_5knot,tdf_5knot,tdf_5knot,9.328832249155612,4.903793147965804,10.143783123181695,12.388771547255448,True,tdf_3knot,tdf_5knot,"NGC6503: primary tdf_3knot competitive on even/odd holdout (expansion_12; fixed baryons, fixed K_tau)."
NGC7814,original_controlled_six,tdf_failure_mode,tdf_5knot,tdf_5knot,nfw_refit,155.80246506165764,113.2509558944865,24.889421235840032,27.846169052533394,False,tdf_3knot,tdf_5knot,NGC7814: canonical-style TDF holdout failure; report honestly (expansion_12 diagnostic).
UGC00128,expansion_addition,mixed_result,tdf_5knot,tdf_4knot,nfw_refit,2.997171278689861,5.059831342446205,2.7179028449342506,6.241303698451873,False,tdf_3knot,tdf_5knot,UGC00128: mixed or inconclusive under expansion_12 criteria.
UGC02953,expansion_addition,robust_tdf_success,tdf_4knot,tdf_5knot,tdf_5knot,37.79618696343891,26.25464124871154,41.4027634956494,44.21494230510838,True,tdf_3knot,tdf_5knot,"UGC02953: primary tdf_3knot competitive on even/odd holdout (expansion_12; fixed baryons, fixed K_tau)."
UGC05253,expansion_addition,mixed_result,tdf_5knot,tdf_5knot,tdf_5knot,48.51663439159767,16.463584420678266,36.149407054866415,37.37998795134056,False,tdf_3knot,tdf_5knot,UGC05253: mixed or inconclusive under expansion_12 criteria.
