galaxy_id,model_name,split_name,radial_region_label,n_test_points,rmse_kms,median_abs_residual_kms,max_abs_residual_kms,mean_normalized_abs_residual,worst_radius_kpc,worst_region_label,negative_v2_count,interpretation,analysis_stage
NGC5055,mond_fit_a0_simple,even_odd_index,inner,4,81.70277479549742,80.72083450105141,88.28726147195545,77.9828209949059,2.87,inner,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
NGC5055,mond_fit_a0_simple,even_odd_index,middle,5,45.67177488799996,26.57257768287647,73.79018827261092,44.2250172777322,7.18,middle,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
NGC5055,mond_fit_a0_simple,even_odd_index,outer,5,34.03162879716773,35.48520336740779,40.36714245608428,22.899623933310647,48.81,outer,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
NGC5055,mond_fit_a0_simple,inner_middle_outer_blocked,middle,9,46.56145215236803,32.69853497122705,76.55632891436557,42.96398788117502,7.18,middle,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
NGC5055,mond_fit_a0_simple,radial_kfold_5_fold1,inner,6,82.7694424387819,82.99105925210552,88.63026347474386,31.050461207219982,2.87,inner,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
NGC5055,mond_fit_a0_simple,radial_kfold_5_fold2,inner,3,80.31075174836305,80.10287368258327,81.85111181449986,119.00620537961203,5.03,inner,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
NGC5055,mond_fit_a0_simple,radial_kfold_5_fold2,middle,3,72.01458803605992,71.30761397962402,76.72291920405007,90.01883507514015,7.18,middle,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
NGC5055,mond_fit_a0_simple,radial_kfold_5_fold3,middle,6,24.1612129217688,12.288239086051675,46.66688593593429,17.764095970462975,11.49,middle,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
NGC5055,mond_fit_a0_simple,radial_kfold_5_fold4,outer,5,22.316307765962634,20.66166281746814,28.972580409908772,6.823896788766784,40.29,outer,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
NGC5055,mond_fit_a0_simple,radial_kfold_5_fold5,outer,5,38.054755138760456,37.917681099321925,40.36714245608428,26.512295557181243,48.81,outer,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
NGC5055,nfw_refit,even_odd_index,inner,4,81.29165203827722,80.37840008321979,87.96483675373014,77.44381187765954,2.87,inner,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
NGC5055,nfw_refit,even_odd_index,middle,5,45.21062961196393,24.67206277987796,72.97707542393744,43.505772934038006,7.18,middle,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
NGC5055,nfw_refit,even_odd_index,outer,5,41.54102190284146,43.00497612548057,48.73694636650271,27.85239854340715,48.81,outer,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
NGC5055,nfw_refit,inner_middle_outer_blocked,middle,9,46.19504896078503,32.111996949488315,76.1499931865481,42.56278585387031,7.18,middle,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
NGC5055,nfw_refit,radial_kfold_5_fold1,inner,6,82.90495716469358,83.19598941482849,88.7744325742193,31.116192295787716,2.87,inner,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
NGC5055,nfw_refit,radial_kfold_5_fold2,inner,3,79.84601416729686,79.59152569892302,81.43345061390829,118.30963328945546,5.03,inner,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
NGC5055,nfw_refit,radial_kfold_5_fold2,middle,3,71.40362491577812,70.69269371498848,76.15925865638167,89.27569147753725,7.18,middle,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
NGC5055,nfw_refit,radial_kfold_5_fold3,middle,6,24.515317883800414,13.35671367598664,47.07839995273963,18.133327612541432,11.49,middle,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
NGC5055,nfw_refit,radial_kfold_5_fold4,outer,5,16.84948858689473,15.384492436202521,21.940904790451498,5.0781360794300126,40.29,outer,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
NGC5055,nfw_refit,radial_kfold_5_fold5,outer,5,52.623157241785215,53.36131424755,54.98252267257291,36.255706748582554,54.59,outer,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
NGC5055,tdf_3knot,even_odd_index,inner,4,171.7084732390261,191.5,201.0,188.20337112508565,5.75,inner,3,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
NGC5055,tdf_3knot,even_odd_index,middle,5,183.15101200909126,204.0,206.0,221.48883830609105,8.62,middle,4,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
NGC5055,tdf_3knot,even_odd_index,outer,5,3.9145096334027887,2.6322182266222,7.039787997264483,1.7508846489937249,54.59,outer,0,Moderate regional holdout errors on this subset.,phase_5b_r_expansion12_radial_maps
NGC5055,tdf_3knot,inner_middle_outer_blocked,middle,9,132.24090544520283,113.74444711645987,206.0,102.93848811235816,14.3,middle,3,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
NGC5055,tdf_3knot,radial_kfold_5_fold1,inner,6,66.69933347727985,69.67886372632144,72.03416351842907,23.03723419526727,2.16,inner,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
NGC5055,tdf_3knot,radial_kfold_5_fold2,inner,3,37.59536471836026,38.082756818175454,47.857265599611054,55.42978518995082,6.46,inner,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
NGC5055,tdf_3knot,radial_kfold_5_fold2,middle,3,96.14158999355466,93.42799735231479,119.56333755481893,108.24288712114787,8.62,middle,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
NGC5055,tdf_3knot,radial_kfold_5_fold3,middle,6,111.25027048022187,108.9227387619329,150.34922774617124,88.26448033451975,17.19,middle,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
NGC5055,tdf_3knot,radial_kfold_5_fold4,outer,5,69.74895375722892,71.90893599847485,88.8928009527458,28.684138419874976,28.74,outer,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
NGC5055,tdf_3knot,radial_kfold_5_fold5,outer,5,113.37029315221692,112.60915924321391,134.62744505611084,72.89808981049272,54.59,outer,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
NGC5055,tdf_5knot,even_odd_index,inner,4,31.693261661706924,27.662428790790273,46.86784264497902,11.50898014955914,1.43,inner,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
NGC5055,tdf_5knot,even_odd_index,middle,5,16.257109484101107,6.378119981655743,34.08960143176711,19.403062168421695,14.3,middle,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
NGC5055,tdf_5knot,even_odd_index,outer,5,1.7012363066426721,0.9233056981482832,2.6920140430444803,0.7504702129131208,54.59,outer,0,Moderate regional holdout errors on this subset.,phase_5b_r_expansion12_radial_maps
NGC5055,tdf_5knot,inner_middle_outer_blocked,middle,9,118.33555768407726,105.66401486508084,194.6479597986414,89.51936727225419,14.3,middle,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
NGC5055,tdf_5knot,radial_kfold_5_fold1,inner,6,52.15726456550752,56.497588931870425,65.16624633996321,15.04696202445149,0.72,inner,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
NGC5055,tdf_5knot,radial_kfold_5_fold2,inner,3,17.6974980979342,19.468400295873323,21.075743299451204,26.72678375367305,6.46,inner,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
NGC5055,tdf_5knot,radial_kfold_5_fold2,middle,3,36.171093442530704,37.22207520719377,41.047598692361845,42.67583877851928,8.62,middle,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
NGC5055,tdf_5knot,radial_kfold_5_fold3,middle,6,79.48460507278539,72.69048311439897,114.58583679418297,68.69462909654533,14.3,middle,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
NGC5055,tdf_5knot,radial_kfold_5_fold4,outer,5,24.69569071263686,24.487325819721548,36.32391534927913,10.48824724122505,28.74,outer,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
NGC5055,tdf_5knot,radial_kfold_5_fold5,outer,5,4.962858567749553,1.0529541387104473,8.900760673991073,1.035289359856319,54.59,outer,0,Moderate regional holdout errors on this subset.,phase_5b_r_expansion12_radial_maps
UGC05253,mond_fit_a0_simple,even_odd_index,inner,12,42.404433640688595,44.52910512039716,47.772234662334824,13.145325400372831,1.01,inner,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
UGC05253,mond_fit_a0_simple,even_odd_index,middle,12,41.4468430923616,42.38400185669147,46.73372632442391,7.965636633124006,3.3,middle,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
UGC05253,mond_fit_a0_simple,even_odd_index,outer,12,25.996417118839492,26.688552754071367,37.128035627818576,6.019150263087891,29.95,outer,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
UGC05253,mond_fit_a0_simple,inner_middle_outer_blocked,middle,24,43.3924008942286,44.52198087781122,48.19877877351962,9.876873844885761,3.42,middle,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
UGC05253,mond_fit_a0_simple,radial_kfold_5_fold1,inner,15,46.11328959289281,46.06798930804149,81.46655258115044,10.277832608957702,0.13,inner,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
UGC05253,mond_fit_a0_simple,radial_kfold_5_fold2,inner,9,44.14430473356563,43.352187247615745,46.510920808701314,16.39657475597225,3.04,inner,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
UGC05253,mond_fit_a0_simple,radial_kfold_5_fold2,middle,6,47.36157153942549,47.270115788157426,47.86614407899168,12.607112722204986,3.42,middle,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
UGC05253,mond_fit_a0_simple,radial_kfold_5_fold3,middle,15,42.98023054512804,42.90903994071556,47.16633955324346,9.575580374059719,3.93,middle,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
UGC05253,mond_fit_a0_simple,radial_kfold_5_fold4,middle,3,33.07529345673835,31.41572652191593,36.395989009695654,5.246107855064619,5.83,middle,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
UGC05253,mond_fit_a0_simple,radial_kfold_5_fold4,outer,11,24.506093208838966,28.75034111278552,31.04032155244863,7.5971979793628925,6.66,outer,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
UGC05253,mond_fit_a0_simple,radial_kfold_5_fold5,outer,14,55.96401758847776,56.23572340642457,73.01274905061283,13.616110245522597,53.29,outer,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
UGC05253,nfw_refit,even_odd_index,inner,12,42.262222455770505,44.341123569221764,47.68023834351533,13.09656586532049,1.01,inner,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
UGC05253,nfw_refit,even_odd_index,middle,12,41.133616959284744,42.05834250111778,46.48044179598321,7.903731386338085,3.3,middle,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
UGC05253,nfw_refit,even_odd_index,outer,12,21.03019258592477,21.495655513465067,29.681498493060218,4.913262833725952,29.95,outer,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
UGC05253,nfw_refit,inner_middle_outer_blocked,middle,24,42.30749468299866,43.40785640403112,47.33481452060937,9.62324582462908,3.42,middle,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
UGC05253,nfw_refit,radial_kfold_5_fold1,inner,15,45.964795381136724,45.80956502153305,81.50785264733167,10.229105265210393,0.13,inner,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
UGC05253,nfw_refit,radial_kfold_5_fold2,inner,9,43.60713903912658,42.81413534045845,45.888027697305915,16.20097472147224,3.04,inner,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
UGC05253,nfw_refit,radial_kfold_5_fold2,middle,6,46.66429824434277,46.54880233848303,47.179609134351836,12.420226664965798,3.42,middle,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
UGC05253,nfw_refit,radial_kfold_5_fold3,middle,15,42.064443054034534,41.978371287878474,46.38029552962752,9.360649832301851,3.93,middle,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
UGC05253,nfw_refit,radial_kfold_5_fold4,middle,3,31.682411853141303,29.967662925181912,35.071393583221266,5.023770546134756,5.83,middle,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
UGC05253,nfw_refit,radial_kfold_5_fold4,outer,11,23.17743947169173,27.214691343323295,29.582016967275422,7.1198191446325305,6.66,outer,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
UGC05253,nfw_refit,radial_kfold_5_fold5,outer,14,65.15817075147719,65.96887295631824,88.18251273393005,15.612536573515184,53.29,outer,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
UGC05253,tdf_3knot,even_odd_index,inner,12,33.06746402314311,31.849481437269333,41.58601145799389,9.85518285819014,1.01,inner,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
UGC05253,tdf_3knot,even_odd_index,middle,12,21.10354052229975,20.63807597398838,29.808608300413823,3.7831006253457655,3.3,middle,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
UGC05253,tdf_3knot,even_odd_index,outer,12,74.31537417362347,18.039362605584287,213.0,9.020185442364676,49.92,outer,1,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
UGC05253,tdf_3knot,inner_middle_outer_blocked,middle,24,27.120235679360558,27.48464601714224,34.67555064655113,6.004474667579835,3.3,middle,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
UGC05253,tdf_3knot,radial_kfold_5_fold1,inner,15,41.766805163478296,40.3644796857684,82.64936429871494,8.799296622011706,0.13,inner,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
UGC05253,tdf_3knot,radial_kfold_5_fold2,inner,9,33.25116969668407,33.340467920998606,34.031585400025335,12.418755764703683,3.04,inner,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
UGC05253,tdf_3knot,radial_kfold_5_fold2,middle,6,33.57760492365523,33.596834213773434,34.39702346173607,8.914231074386388,3.3,middle,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
UGC05253,tdf_3knot,radial_kfold_5_fold3,middle,15,24.346078268618015,23.827537485205426,30.748353919194244,5.177116365254433,3.93,middle,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
UGC05253,tdf_3knot,radial_kfold_5_fold4,middle,3,13.835439742395538,16.00514395299652,16.316580418602626,2.0800147252052916,6.59,middle,0,Moderate regional holdout errors on this subset.,phase_5b_r_expansion12_radial_maps
UGC05253,tdf_3knot,radial_kfold_5_fold4,outer,11,29.343936516833285,21.531328905198308,44.41353809820143,13.664056119197229,13.35,outer,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
UGC05253,tdf_3knot,radial_kfold_5_fold5,outer,14,17.6705202159471,13.369111004746514,28.569778162132224,4.177380094792034,49.92,outer,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
UGC05253,tdf_5knot,even_odd_index,inner,12,24.64720079086023,21.292926097117004,36.00748274724839,6.6009731402996055,0.76,inner,0,Regional holdout RMSE diagnostic.,phase_5b_r_expansion12_radial_maps
UGC05253,tdf_5knot,even_odd_index,middle,12,9.200772121708395,7.88537197841211,17.00461110283817,1.6517931672526638,6.59,middle,0,Moderate regional holdout errors on this subset.,phase_5b_r_expansion12_radial_maps
