galaxy_id,cohort_role,failure_mode_classification,in_sample_best_by_aic,in_sample_best_by_rmse,holdout_best_by_test_rmse,tdf_3knot_holdout_rmse_kms,tdf_5knot_holdout_rmse_kms,nfw_refit_holdout_rmse_kms,mond_fit_a0_holdout_rmse_kms,tdf_3knot_beats_nfw_holdout,tdf_3knot_beats_mond_holdout,primary_tdf_model,sensitivity_tdf_model,counts_as_primary_success,recommended_interpretation
DDO154,original_controlled_six,robust_tdf_success,tdf_5knot,tdf_5knot,tdf_5knot,2.028159188371044,1.440656863351654,3.561967042755863,3.983855795867608,True,True,tdf_3knot,tdf_5knot,True,"DDO154: primary tdf_3knot beats NFW and MOND on even/odd holdout (expansion_20; fixed baryons, fixed K_tau)."
DDO161,expansion_addition,robust_tdf_success,tdf_3knot,tdf_3knot,tdf_3knot,0.7151289715446965,0.7841944507640599,3.86591655404938,6.5537867781430394,True,True,tdf_3knot,tdf_5knot,True,"DDO161: primary tdf_3knot beats NFW and MOND on even/odd holdout (expansion_20; fixed baryons, fixed K_tau)."
IC2574,original_controlled_six,robust_tdf_success,tdf_5knot,tdf_5knot,tdf_5knot,2.9793596786436685,1.7320131025280074,6.387831692823304,6.294218833555061,True,True,tdf_3knot,tdf_5knot,True,"IC2574: primary tdf_3knot beats NFW and MOND on even/odd holdout (expansion_20; fixed baryons, fixed K_tau)."
NGC0289,expansion_addition,robust_tdf_success,tdf_3knot,tdf_3knot,tdf_5knot,19.81141504643472,19.540184103043764,21.914022135663032,22.947635102151164,True,True,tdf_3knot,tdf_5knot,True,"NGC0289: primary tdf_3knot beats NFW and MOND on even/odd holdout (expansion_20; fixed baryons, fixed K_tau)."
NGC2403,original_controlled_six,robust_tdf_success,tdf_5knot,tdf_5knot,tdf_5knot,8.658875535895875,3.437358704108327,9.756510426053667,14.241049062412163,True,True,tdf_3knot,tdf_5knot,True,"NGC2403: primary tdf_3knot beats NFW and MOND on even/odd holdout (expansion_20; fixed baryons, fixed K_tau)."
NGC3198,original_controlled_six,robust_tdf_success,tdf_5knot,tdf_5knot,tdf_5knot,10.447553817928686,8.238204406659758,11.997968698538358,14.338584781715824,True,True,tdf_3knot,tdf_5knot,True,"NGC3198: primary tdf_3knot beats NFW and MOND on even/odd holdout (expansion_20; fixed baryons, fixed K_tau)."
NGC5055,expansion_addition,sensitivity_recovery,tdf_5knot,tdf_5knot,tdf_5knot,142.86189186327752,19.55539758125486,56.87179718935645,55.36998125414223,False,False,tdf_3knot,tdf_5knot,False,NGC5055: tdf_3knot holdout failure with tdf_5knot recovery — sensitivity/high-flexibility only; not primary success (Phase 5B-R guardrail).
NGC6015,expansion_addition,robust_tdf_success,tdf_5knot,tdf_5knot,tdf_5knot,7.128933674687928,4.863890427195811,8.267627630088857,13.447203979307208,True,True,tdf_3knot,tdf_5knot,True,"NGC6015: primary tdf_3knot beats NFW and MOND on even/odd holdout (expansion_20; fixed baryons, fixed K_tau)."
NGC6503,original_controlled_six,robust_tdf_success,tdf_5knot,tdf_5knot,tdf_5knot,9.328832249155612,4.903793147965804,10.143783123181695,12.388771547255448,True,True,tdf_3knot,tdf_5knot,True,"NGC6503: primary tdf_3knot beats NFW and MOND on even/odd holdout (expansion_20; fixed baryons, fixed K_tau)."
NGC7793,expansion_addition,robust_tdf_success,tdf_5knot,tdf_5knot,tdf_5knot,4.568115977808232,3.7975915700774543,8.150058493901147,8.474067631397922,True,True,tdf_3knot,tdf_5knot,True,"NGC7793: primary tdf_3knot beats NFW and MOND on even/odd holdout (expansion_20; fixed baryons, fixed K_tau)."
