galaxy_id,selected,selection_rank,n_points,r_min_kpc,r_max_kpc,radial_coverage_kpc,v_obs_min_kms,v_obs_max_kms,median_v_err_kms,has_bulge,quality_flag,cohort
DDO154,True,1.0,12,0.49,5.92,5.43,13.8,48.2,0.55,False,selected,expansion_20
IC2574,True,2.0,34,0.85,10.23,9.38,10.3,67.5,2.1,False,selected,expansion_20
NGC2403,True,3.0,73,0.16,20.87,20.71,24.5,136.0,1.8,False,selected,expansion_20
NGC3198,True,4.0,43,0.32,44.08,43.76,24.4,157.0,2.36,False,selected,expansion_20
NGC6503,True,5.0,31,0.76,23.5,22.74,77.0,121.0,2.0,False,selected,expansion_20
NGC7814,True,6.0,18,0.63,19.53,18.900000000000002,214.0,265.0,4.825,True,selected,expansion_20
UGC02953,True,7.0,115,0.09,62.39,62.3,231.0,319.0,4.92,True,selected,expansion_20
UGC05253,True,8.0,73,0.13,53.29,53.16,210.0,248.0,3.84,True,selected,expansion_20
UGC09133,True,9.0,68,0.32,108.31,107.99000000000001,222.0,289.0,4.484999999999999,True,selected,expansion_20
UGC06787,True,10.0,71,0.12,37.19,37.07,134.0,276.0,3.6,True,selected,expansion_20
NGC5055,True,11.0,28,0.72,54.59,53.870000000000005,125.0,206.0,2.215,False,selected,expansion_20
UGC00128,True,12.0,22,1.25,53.75,52.5,34.1,134.0,1.25,False,selected,expansion_20
NGC0289,True,13.0,28,1.5,71.12,69.62,156.0,194.0,6.77,False,selected,expansion_20
UGC12506,True,14.0,31,0.82,49.99,49.17,107.0,255.0,11.6,False,selected,expansion_20
UGC11455,True,15.0,36,0.62,41.93,41.31,35.1,291.0,7.025,False,selected,expansion_20
NGC6015,True,16.0,44,0.34,29.23,28.89,35.5,166.0,3.3499999999999996,False,selected,expansion_20
DDO161,True,17.0,31,0.6,13.37,12.77,16.0,67.5,2.09,False,selected,expansion_20
NGC7793,True,18.0,46,0.11,7.87,7.76,9.1,116.0,6.800000000000001,False,selected,expansion_20
UGC07524,True,19.0,31,0.35,10.69,10.34,14.4,83.8,3.26,False,selected,expansion_20
UGC08490,True,20.0,30,0.34,10.15,9.81,38.8,80.1,3.69,False,selected,expansion_20
