r_kpc,tau_frozen_radial,tau_pseudo2d_on_grid,tau_expected_from_profile_interp,n_grid_cells_at_radius,valid_mask,relative_error,passes_tolerance
0.6,0.0,0.0,0.0,0,True,0.0,True
0.73,6.183214783105036,6.183214783105036,6.183214783105036,0,True,0.0,True
0.85,8.64911354217032,8.64911354217032,8.64911354217032,0,True,0.0,True
0.98,10.74432283988942,10.74432283988942,10.74432283988942,0,True,0.0,True
1.07,11.049362287724634,11.049362287724634,11.049362287724634,0,True,0.0,True
1.54,27.598694354723,27.598694354723,27.598694354723,0,True,0.0,True
2.02,56.279326989415,56.279326989415,56.279326989415,0,True,0.0,True
2.49,79.26661331690315,79.26661331690315,79.26661331690315,0,True,0.0,True
2.96,104.9355089650362,104.9355089650362,104.9355089650362,0,True,0.0,True
3.43,147.8830494420475,147.8830494420475,147.8830494420475,0,True,0.0,True
3.9,207.9499741056492,207.9499741056492,207.9499741056492,0,True,0.0,True
4.37,282.3384391866209,282.3384391866209,282.3384391866209,0,True,0.0,True
4.86,381.141788190303,381.141788190303,381.141788190303,0,True,0.0,True
5.34,496.57897626077033,496.57897626077033,496.57897626077033,0,True,0.0,True
5.81,618.7459590084544,618.7459590084544,618.7459590084544,0,True,0.0,True
6.28,746.3723583917932,746.3723583917932,746.3723583917932,0,True,0.0,True
6.75,882.8448948485046,882.8448948485046,882.8448948485046,0,True,0.0,True
7.22,1027.7295828058247,1027.7295828058247,1027.7295828058247,0,True,0.0,True
7.69,1173.086719254211,1173.086719254211,1173.086719254211,0,True,0.0,True
8.16,1315.541574749634,1315.541574749634,1315.541574749634,0,True,0.0,True
8.64,1459.8772968084577,1459.8772968084577,1459.8772968084577,0,True,0.0,True
9.11,1596.706314574534,1596.706314574534,1596.706314574534,0,True,0.0,True
9.58,1731.29284213206,1731.29284213206,1731.29284213206,0,True,0.0,True
10.05,1867.9835056595168,1867.9835056595168,1867.9835056595168,0,True,0.0,True
10.52,2008.9302872571368,2008.9302872571368,2008.9302872571368,0,True,0.0,True
10.99,2149.7869594085396,2149.7869594085396,2149.7869594085396,0,True,0.0,True
11.46,2285.3671275121387,2285.3671275121387,2285.3671275121387,0,True,0.0,True
11.94,2420.3579566947005,2420.3579566947005,2420.3579566947005,0,True,0.0,True
12.41,2549.7784786908283,2549.7784786908283,2549.7784786908283,0,True,0.0,True
12.9,2681.029513205598,2681.029513205598,2681.029513205598,0,True,0.0,True
13.37,2802.568009605527,2802.568009605527,2802.568009605527,0,True,0.0,True
