r_kpc,tau_frozen_radial,tau_pseudo2d_on_grid,tau_expected_from_profile_interp,n_grid_cells_at_radius,valid_mask,relative_error,passes_tolerance
0.85,0.0,0.0,0.0,0,True,0.0,True
1.14,5.289938333333336,5.289938333333336,5.289938333333336,0,True,0.0,True
1.42,15.64407542253521,15.64407542253521,15.64407542253521,0,True,0.0,True
1.71,32.04747929165637,32.04747929165637,32.04747929165637,0,True,0.0,True
1.99,46.27307611201548,46.27307611201548,46.27307611201548,0,True,0.0,True
2.28,73.53269699383685,73.53269699383685,73.53269699383685,0,True,0.0,True
2.55,112.77439327092664,112.77439327092664,112.77439327092664,0,True,0.0,True
2.84,156.80289652693327,156.80289652693327,156.80289652693327,0,True,0.0,True
3.13,208.7685122448831,208.7685122448831,208.7685122448831,0,True,0.0,True
3.41,266.5871923363263,266.5871923363263,266.5871923363263,0,True,0.0,True
3.7,326.64118265930324,326.64118265930324,326.64118265930324,0,True,0.0,True
3.98,391.4429938015007,391.4429938015007,391.4429938015007,0,True,0.0,True
4.26,453.4667503211883,453.4667503211883,453.4667503211883,0,True,0.0,True
4.55,511.1046286617444,511.1046286617444,511.1046286617444,0,True,0.0,True
4.84,565.2820866719161,565.2820866719161,565.2820866719161,0,True,0.0,True
5.12,613.1554781395039,613.1554781395039,613.1554781395039,0,True,0.0,True
5.41,666.8554235233056,666.8554235233056,666.8554235233056,0,True,0.0,True
5.68,717.5225052201176,717.5225052201176,717.5225052201176,0,True,0.0,True
5.97,773.6014419092853,773.6014419092853,773.6014419092853,0,True,0.0,True
6.26,834.5310878526603,834.5310878526603,834.5310878526603,0,True,0.0,True
6.54,900.8183111333318,900.8183111333318,900.8183111333318,0,True,0.0,True
6.83,974.6474164443808,974.6474164443808,974.6474164443808,0,True,0.0,True
7.1,1044.8260809489484,1044.8260809489484,1044.8260809489484,0,True,0.0,True
7.39,1122.9750572848802,1122.9750572848802,1122.9750572848802,0,True,0.0,True
7.68,1207.560774279006,1207.560774279006,1207.560774279006,0,True,0.0,True
7.96,1288.0498561715417,1288.0498561715417,1288.0498561715417,0,True,0.0,True
8.25,1357.9660282630598,1357.9660282630598,1357.9660282630598,0,True,0.0,True
8.52,1432.9878584967344,1432.9878584967344,1432.9878584967344,0,True,0.0,True
8.81,1523.906567653729,1523.906567653729,1523.906567653729,0,True,0.0,True
9.1,1605.7502028166307,1605.7502028166307,1605.7502028166307,0,True,0.0,True
9.38,1691.9514319096277,1691.9514319096277,1691.9514319096277,0,True,0.0,True
9.67,1785.116321688977,1785.116321688977,1785.116321688977,0,True,0.0,True
9.96,1876.5094636437664,1876.5094636437664,1876.5094636437664,0,True,0.0,True
10.23,1962.953102132619,1962.953102132619,1962.953102132619,0,True,0.0,True
