r_kpc,tau_frozen_radial,tau_pseudo2d_on_grid,tau_expected_from_profile_interp,n_grid_cells_at_radius,valid_mask,relative_error,passes_tolerance
0.16,0.0,0.0,0.0,0,True,0.0,True
0.26,18.825612980769183,18.825612980769183,18.825612980769183,0,True,0.0,True
0.36,-29.307881677350387,-29.307881677350387,-29.307881677350387,0,True,0.0,True
0.46,-132.88894991406525,-132.88894991406525,-132.88894991406525,0,True,0.0,True
0.56,-221.31297747617708,-221.31297747617708,-221.31297747617708,0,True,0.0,True
0.66,-272.34510220561447,-272.34510220561447,-272.34510220561447,0,True,0.0,True
0.76,-283.3842076681346,-283.3842076681346,-283.3842076681346,0,True,0.0,True
0.86,-261.3219290573635,-261.3219290573635,-261.3219290573635,0,True,0.0,True
0.96,-249.62730587422405,-249.62730587422405,-249.62730587422405,0,True,0.0,True
1.06,-257.2422029850733,-257.2422029850733,-257.2422029850733,0,True,0.0,True
1.16,-269.49079244506026,-269.49079244506026,-269.49079244506026,0,True,0.0,True
1.27,-270.22607591641514,-270.22607591641514,-270.22607591641514,0,True,0.0,True
1.36,-258.1427536086337,-258.1427536086337,-258.1427536086337,0,True,0.0,True
1.47,-255.7579194399661,-255.7579194399661,-255.7579194399661,0,True,0.0,True
1.57,-263.95608952965796,-263.95608952965796,-263.95608952965796,0,True,0.0,True
1.67,-272.7727392111866,-272.7727392111866,-272.7727392111866,0,True,0.0,True
1.77,-298.0279793241809,-298.0279793241809,-298.0279793241809,0,True,0.0,True
1.87,-340.328452057496,-340.328452057496,-340.328452057496,0,True,0.0,True
1.97,-384.79175574380656,-384.79175574380656,-384.79175574380656,0,True,0.0,True
2.08,-435.9480478587031,-435.9480478587031,-435.9480478587031,0,True,0.0,True
2.18,-498.0870913925777,-498.0870913925777,-498.0870913925777,0,True,0.0,True
2.28,-575.752224923078,-575.752224923078,-575.752224923078,0,True,0.0,True
2.37,-643.5412679027584,-643.5412679027584,-643.5412679027584,0,True,0.0,True
2.47,-715.0149407704192,-715.0149407704192,-715.0149407704192,0,True,0.0,True
2.57,-779.4545167640547,-779.4545167640547,-779.4545167640547,0,True,0.0,True
2.68,-838.545455972197,-838.545455972197,-838.545455972197,0,True,0.0,True
2.78,-885.6846129033684,-885.6846129033684,-885.6846129033684,0,True,0.0,True
2.88,-924.1563297174172,-924.1563297174172,-924.1563297174172,0,True,0.0,True
2.98,-952.0159277902172,-952.0159277902172,-952.0159277902172,0,True,0.0,True
3.08,-967.8254545922742,-967.8254545922742,-967.8254545922742,0,True,0.0,True
3.19,-980.48051395188,-980.48051395188,-980.48051395188,0,True,0.0,True
3.29,-995.8019135907592,-995.8019135907592,-995.8019135907592,0,True,0.0,True
3.39,-1007.2149298597786,-1007.2149298597786,-1007.2149298597786,0,True,0.0,True
3.49,-1002.8719789929952,-1002.8719789929952,-1002.8719789929952,0,True,0.0,True
3.59,-978.9020802293172,-978.9020802293172,-978.9020802293172,0,True,0.0,True
3.69,-941.7072459976742,-941.7072459976742,-941.7072459976742,0,True,0.0,True
3.79,-894.5623607447981,-894.5623607447981,-894.5623607447981,0,True,0.0,True
3.9,-823.6962023898154,-823.6962023898154,-823.6962023898154,0,True,0.0,True
3.99,-755.0159929942107,-755.0159929942107,-755.0159929942107,0,True,0.0,True
4.47,-391.1992221409031,-391.1992221409031,-391.1992221409031,0,True,0.0,True
4.97,20.646498671667928,20.646498671667928,20.646498671667928,0,True,0.0,True
5.47,500.2640723403712,500.2640723403712,500.2640723403712,0,True,0.0,True
5.96,1013.248966802692,1013.248966802692,1013.248966802692,0,True,0.0,True
6.46,1557.2732010293216,1557.2732010293216,1557.2732010293216,0,True,0.0,True
6.96,2105.0091477260585,2105.0091477260585,2105.0091477260585,0,True,0.0,True
7.45,2631.640097674951,2631.640097674951,2631.640097674951,0,True,0.0,True
7.95,3158.14234620815,3158.14234620815,3158.14234620815,0,True,0.0,True
