r_kpc,tau_frozen_radial,tau_pseudo2d_on_grid,tau_expected_from_profile_interp,n_grid_cells_at_radius,valid_mask,relative_error,passes_tolerance
0.34,0.0,0.0,0.0,0,True,0.0,True
0.68,588.3798999999998,588.3798999999998,588.3798999999998,0,True,0.0,True
1.02,1069.0484166666663,1069.0484166666663,1069.0484166666663,0,True,0.0,True
1.36,1620.6370333333334,1620.6370333333334,1620.6370333333334,0,True,0.0,True
1.69,2199.6517465425222,2199.6517465425222,2199.6517465425222,0,True,0.0,True
2.03,2786.148667048541,2786.148667048541,2786.148667048541,0,True,0.0,True
2.37,3334.70788154003,3334.70788154003,3334.70788154003,0,True,0.0,True
2.7,3828.430183192632,3828.430183192632,3828.430183192632,0,True,0.0,True
3.05,4318.691163232097,4318.691163232097,4318.691163232097,0,True,0.0,True
3.38,4746.232814117246,4746.232814117246,4746.232814117246,0,True,0.0,True
3.72,5151.518842805927,5151.518842805927,5151.518842805927,0,True,0.0,True
4.06,5530.225918183331,5530.225918183331,5530.225918183331,0,True,0.0,True
4.39,5876.7227167941455,5876.7227167941455,5876.7227167941455,0,True,0.0,True
4.74,6225.952705802297,6225.952705802297,6225.952705802297,0,True,0.0,True
5.08,6547.761761790868,6547.761761790868,6547.761761790868,0,True,0.0,True
5.41,6845.212518666805,6845.212518666805,6845.212518666805,0,True,0.0,True
5.75,7145.295776907744,7145.295776907744,7145.295776907744,0,True,0.0,True
6.09,7437.846147501589,7437.846147501589,7437.846147501589,0,True,0.0,True
6.42,7708.727135502832,7708.727135502832,7708.727135502832,0,True,0.0,True
6.77,7983.83930669457,7983.83930669457,7983.83930669457,0,True,0.0,True
7.11,8238.787017398907,8238.787017398907,8238.787017398907,0,True,0.0,True
7.44,8474.378537914934,8474.378537914934,8474.378537914934,0,True,0.0,True
7.78,8705.425823521466,8705.425823521466,8705.425823521466,0,True,0.0,True
8.12,8927.693129566711,8927.693129566711,8927.693129566711,0,True,0.0,True
8.46,9140.617810295787,9140.617810295787,9140.617810295787,0,True,0.0,True
8.8,9340.671481486686,9340.671481486686,9340.671481486686,0,True,0.0,True
9.13,9523.98426973217,9523.98426973217,9523.98426973217,0,True,0.0,True
9.47,9706.812407798769,9706.812407798769,9706.812407798769,0,True,0.0,True
9.77,9862.321077188391,9862.321077188391,9862.321077188391,0,True,0.0,True
10.15,10052.895926268971,10052.895926268971,10052.895926268971,0,True,0.0,True
