r_kpc,tau_frozen_radial,tau_pseudo2d_on_grid,tau_expected_from_profile_interp,n_grid_cells_at_radius,valid_mask,relative_error,passes_tolerance
0.73,9.664863541666668,9.664863541666668,9.664863541666668,0,True,0.0,True
0.85,16.355922916666668,16.355922916666668,16.355922916666668,0,True,0.0,True
0.98,21.792408658854168,21.792408658854168,21.792408658854168,0,True,0.0,True
1.07,24.615199332682295,24.615199332682295,24.615199332682295,0,True,0.0,True
1.54,38.82996665445964,38.82996665445964,38.82996665445964,0,True,0.0,True
2.02,56.976478129069015,56.976478129069015,56.976478129069015,0,True,0.0,True
2.49,77.0129722363943,77.0129722363943,77.0129722363943,0,True,0.0,True
2.96,99.88451003759909,99.88451003759909,99.88451003759909,0,True,0.0,True
3.43,128.47393228910508,128.47393228910508,128.47393228910508,0,True,0.0,True
3.9,164.21071010348754,164.21071010348754,164.21071010348754,0,True,0.0,True
4.37,208.88168237146567,208.88168237146567,208.88168237146567,0,True,0.0,True
4.86,267.09651325260734,267.09651325260734,267.09651325260734,0,True,0.0,True
5.34,338.37997963767873,338.37997963767873,338.37997963767873,0,True,0.0,True
5.81,425.6279723485734,425.6279723485734,425.6279723485734,0,True,0.0,True
6.28,534.687963237192,534.687963237192,534.687963237192,0,True,0.0,True
6.75,666.2629663234613,666.2629663234613,666.2629663234613,0,True,0.0,True
7.22,811.1476542807815,811.1476542807815,811.1476542807815,0,True,0.0,True
7.69,956.5047907291678,956.5047907291678,956.5047907291678,0,True,0.0,True
8.16,1098.9596462245909,1098.9596462245909,1098.9596462245909,0,True,0.0,True
8.64,1243.2953682834145,1243.2953682834145,1243.2953682834145,0,True,0.0,True
9.11,1380.1243860494908,1380.1243860494908,1380.1243860494908,0,True,0.0,True
9.58,1514.710913607017,1514.710913607017,1514.710913607017,0,True,0.0,True
10.05,1651.4015771344737,1651.4015771344737,1651.4015771344737,0,True,0.0,True
10.52,1792.3483587320936,1792.3483587320936,1792.3483587320936,0,True,0.0,True
10.99,1933.2050308834966,1933.2050308834966,1933.2050308834966,0,True,0.0,True
11.46,2068.7851989870956,2068.7851989870956,2068.7851989870956,0,True,0.0,True
11.94,2203.7760281696574,2203.7760281696574,2203.7760281696574,0,True,0.0,True
12.41,2333.196550165785,2333.196550165785,2333.196550165785,0,True,0.0,True
12.9,2464.447584680555,2464.447584680555,2464.447584680555,0,True,0.0,True
13.37,2585.986081080484,2585.986081080484,2585.986081080484,0,True,0.0,True
