r_kpc,tau_frozen_radial,tau_pseudo2d_on_grid,tau_expected_from_profile_interp,n_grid_cells_at_radius,valid_mask,relative_error,passes_tolerance
1.14,5.289938333333336,5.289938333333336,5.289938333333336,0,True,0.0,True
1.42,11.548463333333338,11.548463333333338,11.548463333333338,0,True,0.0,True
1.71,19.65101802083334,19.65101802083334,19.65101802083334,0,True,0.0,True
1.99,29.429963333333344,29.429963333333344,29.429963333333344,0,True,0.0,True
2.28,42.09020503255209,42.09020503255209,42.09020503255209,0,True,0.0,True
2.55,56.82410701009116,56.82410701009116,56.82410701009116,0,True,0.0,True
2.84,76.60573466512047,76.60573466512047,76.60573466512047,0,True,0.0,True
3.13,101.3327692339071,101.3327692339071,101.3327692339071,0,True,0.0,True
3.41,131.17574198933926,131.17574198933926,131.17574198933926,0,True,0.0,True
3.7,169.81173350306835,169.81173350306835,169.81173350306835,0,True,0.0,True
3.98,216.44137843343103,216.44137843343103,216.44137843343103,0,True,0.0,True
4.26,267.7324404839455,267.7324404839455,267.7324404839455,0,True,0.0,True
4.55,325.3703188245016,325.3703188245016,325.3703188245016,0,True,0.0,True
4.84,380.22501786296317,380.22501786296317,380.22501786296317,0,True,0.0,True
5.12,428.75229721993435,428.75229721993435,428.75229721993435,0,True,0.0,True
5.41,482.452242603736,482.452242603736,482.452242603736,0,True,0.0,True
5.68,533.119324300548,533.119324300548,533.119324300548,0,True,0.0,True
5.97,589.1982609897157,589.1982609897157,589.1982609897157,0,True,0.0,True
6.26,650.1279069330907,650.1279069330907,650.1279069330907,0,True,0.0,True
6.54,716.4151302137622,716.4151302137622,716.4151302137622,0,True,0.0,True
6.83,790.2442355248112,790.2442355248112,790.2442355248112,0,True,0.0,True
7.1,860.4229000293788,860.4229000293788,860.4229000293788,0,True,0.0,True
7.39,938.5718763653105,938.5718763653105,938.5718763653105,0,True,0.0,True
7.68,1023.1575933594361,1023.1575933594361,1023.1575933594361,0,True,0.0,True
7.96,1103.6466752519718,1103.6466752519718,1103.6466752519718,0,True,0.0,True
8.25,1173.56284734349,1173.56284734349,1173.56284734349,0,True,0.0,True
8.52,1238.2293814343989,1238.2293814343989,1238.2293814343989,0,True,0.0,True
8.81,1318.0257354750897,1318.0257354750897,1318.0257354750897,0,True,0.0,True
9.1,1399.8693706379913,1399.8693706379913,1399.8693706379913,0,True,0.0,True
9.38,1486.0705997309883,1486.0705997309883,1486.0705997309883,0,True,0.0,True
9.67,1579.2354895103376,1579.2354895103376,1579.2354895103376,0,True,0.0,True
9.96,1670.628631465127,1670.628631465127,1670.628631465127,0,True,0.0,True
10.23,1757.0722699539797,1757.0722699539797,1757.0722699539797,0,True,0.0,True
