galaxy_id,r_kpc,v_obs_kms,v_err_kms,v_bar_kms,residual_v2_kms2,residual_policy_applied,K_tau,dtaudr_reconstructed,tau_reconstructed,dtaudr_smoothed_diagnostic,tau_smoothed_diagnostic,negative_residual_flag,data_source,data_mode,reconstruction_stage,tau_frozen,dtaudr_frozen,tau_regularized,dtaudr_regularized
NGC2403,0.26,35.3,2.46,35.33,-2.118900000000167,allow_signed,1.0,-288.4964062499998,4.808273437499998,-181.86591080615975,1.4324293025874797,True,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction,18.825612980769183,-8.149615384616027,4.808273437499998,-288.4964062499998
NGC2403,0.36,43.2,1.12,47.00922569028339,-343.6272999999992,allow_signed,1.0,-360.62050781249974,-27.647572265624973,-667.3389573252605,-41.02781410398352,True,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction,-29.307881677350387,-954.5202777777756,-27.647572265624973,-360.62050781249974
NGC2403,0.46,52.0,1.25,56.726241722856976,-513.8664999999996,allow_signed,1.0,-450.77563476562466,-68.2173793945312,-852.1655241511256,-117.00303817780284,True,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction,-132.88894991406525,-1117.101086956521,-68.2173793945312,-450.77563476562466
NGC2403,0.56,60.9,2.93,63.8246229914443,-364.7725000000005,allow_signed,1.0,-563.4695434570308,-118.929638305664,-661.7352560989806,-192.69807719030817,True,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction,-221.31297747617708,-651.3794642857151,-118.929638305664,-563.4695434570308
NGC2403,0.66,65.8,1.25,67.62657465819188,-243.71360000000183,allow_signed,1.0,-422.6021575927731,-168.2332233581542,-318.013824549334,-241.68553122272388,True,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction,-272.34510220561447,-369.26303030303313,-168.2332233581542,-422.6021575927731
NGC2403,0.76,71.7,1.25,70.9087053893949,112.84549999999945,allow_signed,1.0,316.95161819457985,-173.51575032806386,-3.1351300404197655,-257.74297895221156,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction,-283.3842076681346,148.48092105263086,-173.51575032806386,316.95161819457985
NGC2403,0.86,74.6,1.6,72.89295164829038,251.77760000000035,allow_signed,1.0,292.7646511627911,-143.02993686019533,109.8087466016748,-252.4092981241488,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction,-261.3219290573635,292.7646511627911,-143.02993686019533,292.7646511627911
NGC2403,0.96,74.6,1.03,74.9778453944897,-56.51730000000225,allow_signed,1.0,-219.57348837209332,-139.37037872066045,23.48828616296552,-245.7444464859168,True,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction,-249.62730587422405,-58.87218750000235,-139.37037872066045,-219.57348837209332
NGC2403,1.06,76.6,1.12,77.24371366007722,-99.03130000000056,allow_signed,1.0,-164.68011627906998,-158.58305895321863,-63.74511634516991,-247.757287995027,True,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction,-257.2422029850733,-93.42575471698166,-158.58305895321863,-164.68011627906998
NGC2403,1.16,78.5,1.6,79.61182952300493,-175.79339999999956,allow_signed,1.0,-151.54603448275824,-174.39436649131002,-44.849458932638775,-253.18701675891745,True,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction,-269.49079244506026,-151.54603448275824,-174.39436649131002,-151.54603448275824
NGC2403,1.27,83.4,1.8,82.34121021699889,175.48509999999897,allow_signed,1.0,113.65952586206868,-176.47812446544796,39.677364725827665,-253.47148194029205,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction,-270.22607591641514,138.17724409448738,-176.47812446544796,113.65952586206868
NGC2403,1.36,86.4,1.6,85.36800454502846,177.26380000000154,allow_signed,1.0,130.34102941176582,-165.4980994781254,51.13179821124524,-249.38506960812376,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction,-258.1427536086337,130.34102941176582,-165.4980994781254,130.34102941176582
NGC2403,1.47,87.4,1.41,88.12843581954691,-127.86119999999757,allow_signed,1.0,-97.75577205882436,-163.70591032371362,-22.23412103139076,-247.79569736323177,True,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction,-255.7579194399661,-86.98040816326365,-163.70591032371362,-97.75577205882436
NGC2403,1.57,90.3,1.41,90.96677030652457,-120.86329999999998,allow_signed,1.0,-76.98299363057323,-172.4428486081835,-92.08753914831154,-253.5117803722169,True,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction,-263.95608952965796,-76.98299363057323,-172.4428486081835,-76.98299363057323
NGC2403,1.67,93.3,1.6,94.184948372869,-165.91449999999895,allow_signed,1.0,-96.22874203821654,-181.10343539162298,-186.36800840597704,-267.4345577499313,True,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction,-272.7727392111866,-99.34999999999938,-181.10343539162298,-96.22874203821654
NGC2403,1.77,93.3,1.41,97.07252958484186,-718.1859999999979,allow_signed,1.0,-120.28592754777067,-191.92916887092235,-323.44333700219823,-292.9251250203401,True,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction,-298.0279793241809,-405.7548022598858,-191.92916887092235,-120.28592754777067
NGC2403,1.87,95.2,1.25,99.42995625061896,-823.2761999999984,allow_signed,1.0,-150.35740943471333,-205.46133572004658,-417.63946135881946,-329.979264938391,True,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction,-340.328452057496,-440.25465240641626,-205.46133572004658,-150.35740943471333
NGC2403,1.97,97.2,1.6,101.64837677011866,-884.552499999998,allow_signed,1.0,-187.94676179339166,-222.3765442814518,-469.15806143905786,-374.3191410782848,True,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction,-384.79175574380656,-449.01142131979594,-222.3765442814518,-187.94676179339166
NGC2403,2.08,99.1,2.02,104.02645913420298,-1000.6942000000035,allow_signed,1.0,-234.9334522417396,-245.63495605338403,-556.4707727820404,-430.7287269604453,True,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction,-435.9480478587031,-481.1029807692324,-245.63495605338403,-234.9334522417396
NGC2403,2.18,98.2,2.02,106.31884969279906,-1660.4578,allow_signed,1.0,-293.6668153021745,-272.06496943057977,-679.9152259287849,-492.5480268959866,True,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction,-498.0870913925777,-761.6778899082569,-272.06496943057977,-293.6668153021745
NGC2403,2.28,98.2,1.6,106.99600226176678,-1804.9045000000008,allow_signed,1.0,-367.0835191277181,-305.1024861520743,-742.3002739953114,-563.6588018921911,True,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction,-575.752224923078,-791.6247807017547,-305.1024861520743,-367.0835191277181
NGC2403,2.37,98.2,1.0,106.47681531676274,-1694.0722000000003,allow_signed,1.0,-458.8543989096476,-342.26969246375586,-726.2353432098076,-629.7429046664217,True,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction,-643.5412679027584,-714.7983966244727,-342.26969246375586,-458.8543989096476
