r_kpc,tau_frozen_radial,tau_pseudo2d_on_grid,tau_expected_from_profile_interp,n_grid_cells_at_radius,valid_mask,relative_error,passes_tolerance
0.26,4.808273437499998,4.808273437499998,4.808273437499998,0,True,0.0,True
0.36,-27.647572265624973,-27.647572265624973,-27.647572265624973,0,True,0.0,True
0.46,-68.2173793945312,-68.2173793945312,-68.2173793945312,0,True,0.0,True
0.56,-118.929638305664,-118.929638305664,-118.929638305664,0,True,0.0,True
0.66,-168.2332233581542,-168.2332233581542,-168.2332233581542,0,True,0.0,True
0.76,-173.51575032806386,-173.51575032806386,-173.51575032806386,0,True,0.0,True
0.86,-143.02993686019533,-143.02993686019533,-143.02993686019533,0,True,0.0,True
0.96,-139.37037872066045,-139.37037872066045,-139.37037872066045,0,True,0.0,True
1.06,-158.58305895321863,-158.58305895321863,-158.58305895321863,0,True,0.0,True
1.16,-174.39436649131002,-174.39436649131002,-174.39436649131002,0,True,0.0,True
1.27,-176.47812446544796,-176.47812446544796,-176.47812446544796,0,True,0.0,True
1.36,-165.4980994781254,-165.4980994781254,-165.4980994781254,0,True,0.0,True
1.47,-163.70591032371362,-163.70591032371362,-163.70591032371362,0,True,0.0,True
1.57,-172.4428486081835,-172.4428486081835,-172.4428486081835,0,True,0.0,True
1.67,-181.10343539162298,-181.10343539162298,-181.10343539162298,0,True,0.0,True
1.77,-191.92916887092235,-191.92916887092235,-191.92916887092235,0,True,0.0,True
1.87,-205.46133572004658,-205.46133572004658,-205.46133572004658,0,True,0.0,True
1.97,-222.3765442814518,-222.3765442814518,-222.3765442814518,0,True,0.0,True
2.08,-245.63495605338403,-245.63495605338403,-245.63495605338403,0,True,0.0,True
2.18,-272.06496943057977,-272.06496943057977,-272.06496943057977,0,True,0.0,True
2.28,-305.1024861520743,-305.1024861520743,-305.1024861520743,0,True,0.0,True
2.37,-342.26969246375586,-342.26969246375586,-342.26969246375586,0,True,0.0,True
2.47,-393.89081234109125,-393.89081234109125,-393.89081234109125,0,True,0.0,True
2.57,-451.27503523014246,-451.27503523014246,-451.27503523014246,0,True,0.0,True
2.68,-510.36597443828487,-510.36597443828487,-510.36597443828487,0,True,0.0,True
2.78,-557.5051313694562,-557.5051313694562,-557.5051313694562,0,True,0.0,True
2.88,-596.2255337975138,-596.2255337975138,-596.2255337975138,0,True,0.0,True
2.98,-625.2658356185569,-625.2658356185569,-625.2658356185569,0,True,0.0,True
3.08,-647.0460619843393,-647.0460619843393,-647.0460619843393,0,True,0.0,True
3.19,-665.2436709163854,-665.2436709163854,-665.2436709163854,0,True,0.0,True
3.29,-680.5650705552646,-680.5650705552646,-680.5650705552646,0,True,0.0,True
3.39,-694.7619482148391,-694.7619482148391,-694.7619482148391,0,True,0.0,True
3.49,-696.2830422497935,-696.2830422497935,-696.2830422497935,0,True,0.0,True
3.59,-686.0156575138512,-686.0156575138512,-686.0156575138512,0,True,0.0,True
3.69,-673.1814265939233,-673.1814265939233,-673.1814265939233,0,True,0.0,True
3.79,-657.1386379440135,-657.1386379440135,-657.1386379440135,0,True,0.0,True
3.9,-635.0798035503874,-635.0798035503874,-635.0798035503874,0,True,0.0,True
3.99,-612.5196320114516,-612.5196320114516,-612.5196320114516,0,True,0.0,True
4.47,-462.1184884185469,-462.1184884185469,-462.1184884185469,0,True,0.0,True
4.97,-266.2836660319521,-266.2836660319521,-266.2836660319521,0,True,0.0,True
5.47,-21.490138048708616,-21.490138048708616,-21.490138048708616,0,True,0.0,True
5.96,278.3819337307648,278.3819337307648,278.3819337307648,0,True,0.0,True
6.46,660.8718212045827,660.8718212045827,660.8718212045827,0,True,0.0,True
6.96,1138.984180546855,1138.984180546855,1138.984180546855,0,True,0.0,True
7.45,1660.1072450552765,1660.1072450552765,1660.1072450552765,0,True,0.0,True
7.95,2186.609493588475,2186.609493588475,2186.609493588475,0,True,0.0,True
8.45,2707.7986857100923,2707.7986857100923,2707.7986857100923,0,True,0.0,True
8.94,3218.19483986746,3218.19483986746,3218.19483986746,0,True,0.0,True
9.44,3730.1974355737693,3730.1974355737693,3730.1974355737693,0,True,0.0,True
9.94,4220.530184002903,4220.530184002903,4220.530184002903,0,True,0.0,True
10.43,4680.179384454269,4680.179384454269,4680.179384454269,0,True,0.0,True
10.93,5140.32048860436,5140.32048860436,5140.32048860436,0,True,0.0,True
11.43,5603.66334151027,5603.66334151027,5603.66334151027,0,True,0.0,True
11.92,6056.066503193656,6056.066503193656,6056.066503193656,0,True,0.0,True
12.42,6515.65926260557,6515.65926260557,6515.65926260557,0,True,0.0,True
12.92,6978.263531785909,6978.263531785909,6978.263531785909,0,True,0.0,True
13.42,7434.337145927503,7434.337145927503,7434.337145927503,0,True,0.0,True
13.91,7871.3086770605805,7871.3086770605805,7871.3086770605805,0,True,0.0,True
14.41,8307.472223448558,8307.472223448558,8307.472223448558,0,True,0.0,True
14.91,8738.391711694248,8738.391711694248,8738.391711694248,0,True,0.0,True
15.4,9155.968825296468,9155.968825296468,9155.968825296468,0,True,0.0,True
15.9,9569.042906955376,9569.042906955376,9569.042906955376,0,True,0.0,True
16.4,9973.680296739083,9973.680296739083,9973.680296739083,0,True,0.0,True
