r_kpc,tau_frozen_radial,tau_pseudo2d_on_grid,tau_expected_from_profile_interp,n_grid_cells_at_radius,valid_mask,relative_error,passes_tolerance
0.68,636.8906249999998,636.8906249999998,636.8906249999998,0,True,0.0,True
1.02,1166.0698666666663,1166.0698666666663,1166.0698666666663,0,True,0.0,True
1.36,1717.6584833333332,1717.6584833333332,1717.6584833333332,0,True,0.0,True
1.69,2296.6731965425215,2296.6731965425215,2296.6731965425215,0,True,0.0,True
2.03,2883.1701170485403,2883.1701170485403,2883.1701170485403,0,True,0.0,True
2.37,3431.7293315400293,3431.7293315400293,3431.7293315400293,0,True,0.0,True
2.7,3925.451633192631,3925.451633192631,3925.451633192631,0,True,0.0,True
3.05,4415.712613232096,4415.712613232096,4415.712613232096,0,True,0.0,True
3.38,4843.254264117246,4843.254264117246,4843.254264117246,0,True,0.0,True
3.72,5248.5402928059275,5248.5402928059275,5248.5402928059275,0,True,0.0,True
4.06,5627.247368183331,5627.247368183331,5627.247368183331,0,True,0.0,True
4.39,5973.744166794146,5973.744166794146,5973.744166794146,0,True,0.0,True
4.74,6322.974155802297,6322.974155802297,6322.974155802297,0,True,0.0,True
5.08,6644.783211790868,6644.783211790868,6644.783211790868,0,True,0.0,True
5.41,6942.233968666806,6942.233968666806,6942.233968666806,0,True,0.0,True
5.75,7242.317226907744,7242.317226907744,7242.317226907744,0,True,0.0,True
6.09,7534.867597501589,7534.867597501589,7534.867597501589,0,True,0.0,True
6.42,7805.748585502833,7805.748585502833,7805.748585502833,0,True,0.0,True
6.77,8080.86075669457,8080.86075669457,8080.86075669457,0,True,0.0,True
7.11,8335.808467398907,8335.808467398907,8335.808467398907,0,True,0.0,True
7.44,8571.399987914934,8571.399987914934,8571.399987914934,0,True,0.0,True
7.78,8802.447273521466,8802.447273521466,8802.447273521466,0,True,0.0,True
8.12,9024.714579566711,9024.714579566711,9024.714579566711,0,True,0.0,True
8.46,9237.639260295788,9237.639260295788,9237.639260295788,0,True,0.0,True
8.8,9437.692931486687,9437.692931486687,9437.692931486687,0,True,0.0,True
9.13,9621.00571973217,9621.00571973217,9621.00571973217,0,True,0.0,True
9.47,9803.833857798769,9803.833857798769,9803.833857798769,0,True,0.0,True
9.77,9959.342527188393,9959.342527188393,9959.342527188393,0,True,0.0,True
10.15,10149.917376268972,10149.917376268972,10149.917376268972,0,True,0.0,True
