rel_path,category,action,referenced,reference_hits,notes
.DS_Store,cleanup_candidate,delete,True,.DS_Store,OS metadata file
.pytest_cache/.gitignore,cleanup_candidate,delete,True,.gitignore,cache directory
.pytest_cache/CACHEDIR.TAG,cleanup_candidate,delete,False,,cache directory
.pytest_cache/README.md,cleanup_candidate,delete,True,README.md,cache directory
.pytest_cache/v/cache/nodeids,cleanup_candidate,delete,False,,cache directory
paper/manuscript.aux,cleanup_candidate,delete,False,,LaTeX build artifact (regenerated by compile)
paper/manuscript.bbl,cleanup_candidate,delete,False,,LaTeX build artifact (regenerated by compile)
paper/manuscript.blg,cleanup_candidate,delete,False,,LaTeX build artifact (regenerated by compile)
paper/manuscript.fdb_latexmk,cleanup_candidate,delete,False,,LaTeX build artifact (regenerated by compile)
paper/manuscript.fls,cleanup_candidate,delete,False,,LaTeX build artifact (regenerated by compile)
paper/manuscript.log,cleanup_candidate,delete,False,,LaTeX build artifact (regenerated by compile)
paper/manuscript.out,cleanup_candidate,delete,False,,LaTeX build artifact (regenerated by compile)
