rel_path,category,size_bytes,referenced,reference_hits,action,notes
.gitignore,keep_core,330,True,.gitignore,keep,project metadata
CITATION.cff,keep_core,1136,False,,keep,default keep
README.md,keep_core,4733,True,README.md,keep,project metadata
RELEASE_NOTES.md,keep_core,2558,False,,keep,default keep
archive/README.md,keep_docs,1256,True,README.md,keep,archived historical artifact
archive/docs/TDF_Radial_Reconstruction_on_a_Preregistered_Controlled_SPARC_Subset.pdf,keep_docs,1094660,False,,keep,archived historical artifact
archive/outputs/figures/Galaxy_A_rotation.png,keep_docs,40912,False,,keep,archived historical artifact
archive/outputs/figures/Galaxy_A_tau.png,keep_docs,43451,False,,keep,archived historical artifact
archive/outputs/figures/Galaxy_B_rotation.png,keep_docs,41173,False,,keep,archived historical artifact
archive/outputs/figures/Galaxy_B_tau.png,keep_docs,47721,False,,keep,archived historical artifact
configs/ml_priors.yaml,keep_core,2981,True,configs/ml_priors.yaml; ml_priors.yaml,keep,run configuration
configs/models.yaml,keep_core,1367,True,configs/models.yaml; models.yaml,keep,run configuration
configs/reconstruction.yaml,keep_core,1167,True,configs/reconstruction.yaml; reconstruction.yaml,keep,run configuration
configs/sparc_subset.yaml,keep_core,701,True,configs/sparc_subset.yaml; sparc_subset.yaml,keep,run configuration
configs/subset_expansion.yaml,keep_core,1666,True,configs/subset_expansion.yaml; subset_expansion.yaml,keep,run configuration
data/processed/README.md,keep_data,50,True,README.md,keep,SPARC raw or processed inputs
data/processed/sparc/sparc_photometry_metadata.csv,keep_data,40454,True,data/processed/sparc/sparc_photometry_metadata.csv; sparc_photometry_metadata.csv,keep,SPARC raw or processed inputs
data/processed/sparc/sparc_rotmod_standardized.csv,keep_data,540593,True,data/processed/sparc/sparc_rotmod_standardized.csv; sparc_rotmod_standardized.csv,keep,SPARC raw or processed inputs
data/raw/README.md,keep_core,43,True,README.md,keep,default keep
data/raw/sparc/README.md,keep_data,730,True,README.md; data/raw/sparc/README.md,keep,SPARC raw or processed inputs
data/raw/sparc/Rotmod_LTG/CamB_rotmod.dat,keep_data,490,False,,keep,SPARC raw or processed inputs
data/raw/sparc/Rotmod_LTG/D512-2_rotmod.dat,keep_data,283,False,,keep,SPARC raw or processed inputs
data/raw/sparc/Rotmod_LTG/D564-8_rotmod.dat,keep_data,359,False,,keep,SPARC raw or processed inputs
data/raw/sparc/Rotmod_LTG/D631-7_rotmod.dat,keep_data,802,False,,keep,SPARC raw or processed inputs
data/raw/sparc/Rotmod_LTG/DDO064_rotmod.dat,keep_data,714,False,,keep,SPARC raw or processed inputs
data/raw/sparc/Rotmod_LTG/DDO154_rotmod.dat,keep_data,622,False,,keep,SPARC raw or processed inputs
data/raw/sparc/Rotmod_LTG/DDO161_rotmod.dat,keep_data,1458,False,,keep,SPARC raw or processed inputs
data/raw/sparc/Rotmod_LTG/DDO168_rotmod.dat,keep_data,545,False,,keep,SPARC raw or processed inputs
data/raw/sparc/Rotmod_LTG/DDO170_rotmod.dat,keep_data,459,False,,keep,SPARC raw or processed inputs
data/raw/sparc/Rotmod_LTG/ESO079-G014_rotmod.dat,keep_data,797,False,,keep,SPARC raw or processed inputs
data/raw/sparc/Rotmod_LTG/ESO116-G012_rotmod.dat,keep_data,777,False,,keep,SPARC raw or processed inputs
