galaxy_id,model_name,fit_success,fit_status,rmse_kms,reduced_chi_square,aic,bic,rho_s,r_s,rho_0,r_0,log10_rho_s,log10_r_s,log10_rho_0,log10_r_0,rho_s_lower_bound,rho_s_upper_bound,r_s_lower_bound,r_s_upper_bound,rho_0_lower_bound,rho_0_upper_bound,r_0_lower_bound,r_0_upper_bound,high_reduced_chi_square,very_high_reduced_chi_square,poor_rmse_relative_to_velocity,model_status,best_rmse_in_galaxy,best_aic_in_galaxy,best_bic_in_galaxy
DDO154,baryonic_only,True,fixed_baryonic_model,22.680803776816237,5924.837387512842,65173.21126264126,65173.21126264126,,,,,,,,,False,False,False,False,False,False,False,False,True,True,True,high_chi_square,False,False,False
DDO154,nfw,True,ok:2,3.457591781356456,18.52082834719443,170.68745512474987,171.65726842432588,858413.045094569,23.39420082407018,,,,,,,True,False,False,False,False,False,False,False,True,False,False,boundary_limited_and_high_chi_square,True,True,True
DDO154,burkert,True,ok:4,12.5030095313304,328.80406441449725,2963.236579730475,2964.206393030051,,,100000.00000001393,12.727839272769533,,,,,False,False,False,False,True,False,False,False,True,True,True,boundary_limited_and_high_chi_square,False,False,False
NGC2403,baryonic_only,True,fixed_baryonic_model,37.895599436401874,2076.45642200076,149504.86238405472,149504.86238405472,,,,,,,,,False,False,False,False,False,False,False,False,True,True,True,high_chi_square,False,False,False
NGC2403,nfw,True,ok:2,9.754645689179162,41.23354903747914,2890.34843262354,2894.9293515058366,409569.5768076088,96.68270094701748,,,,,,,True,False,False,False,False,False,False,False,True,True,False,boundary_limited_and_high_chi_square,True,True,True
NGC2403,burkert,True,ok:4,33.59177403604455,570.0650097087503,39908.55067961252,39913.131598494816,,,100000.0,27.28775039458908,,,,,False,False,False,False,True,False,False,False,True,True,True,boundary_limited_and_high_chi_square,False,False,False
NGC3198,baryonic_only,True,fixed_baryonic_model,37.60592238748666,301.078096683286,12645.280060698013,12645.280060698013,,,,,,,,,False,False,False,False,False,False,False,False,True,True,True,high_chi_square,False,False,False
NGC3198,nfw,True,ok:2,13.270914991093797,17.766546176878116,714.6618470751246,718.1842473065117,231938.36203111932,99.99999999999991,,,,,,,True,False,False,True,False,False,False,False,True,False,False,boundary_limited_and_high_chi_square,True,True,True
NGC3198,burkert,True,ok:4,38.87674619404602,182.0828614552976,7287.314458211903,7290.83685844329,,,100000.0000000001,29.206263886339237,,,,,False,False,False,False,True,False,False,False,True,True,True,boundary_limited_and_high_chi_square,False,False,False
NGC6503,baryonic_only,True,fixed_baryonic_model,41.67287570412551,854.8356287477708,25645.068862433123,25645.068862433123,,,,,,,,,False,False,False,False,False,False,False,False,True,True,True,high_chi_square,False,False,False
NGC6503,nfw,True,ok:2,10.49242139546994,25.050038413893336,705.4010755890134,708.2690499979838,687967.8360015535,46.06700111342288,,,,,,,True,False,False,False,False,False,False,False,True,True,False,boundary_limited_and_high_chi_square,True,True,True
NGC6503,burkert,True,ok:4,23.324153602928163,114.61085031089632,3213.1038087050965,3215.971783114067,,,100000.00000000007,29.429555369442607,,,,,False,False,False,False,True,False,False,False,True,True,True,boundary_limited_and_high_chi_square,False,False,False
IC2574,baryonic_only,True,fixed_baryonic_model,18.897457874966214,224.4648231830265,7407.339165039874,7407.339165039874,,,,,,,,,False,False,False,False,False,False,False,False,True,True,True,high_chi_square,False,False,False
IC2574,nfw,True,ok:4,6.358452872395924,41.40308118215431,1287.4955166467837,1290.548237696016,100000.00000000006,74.91492183345072,,,,,,,True,False,False,False,False,False,False,False,True,True,False,boundary_limited_and_high_chi_square,True,True,True
IC2574,burkert,True,ok:3,18.085930707603634,227.3411041397212,7051.574228331357,7054.6269493805885,,,100000.00000000076,3.7114654111288505,,,,,False,False,False,False,True,False,False,False,True,True,True,boundary_limited_and_high_chi_square,False,False,False
NGC7814,baryonic_only,True,fixed_baryonic_model,53.457344257273526,165.38464836668624,2811.539022233666,2811.539022233666,,,,,,,,,False,False,False,False,False,False,False,False,True,True,True,high_chi_square,False,False,False
NGC7814,nfw,True,ok:2,30.072672778902657,11.33285456774138,173.99281851612068,175.773562031913,642535.0655444327,99.99999999937808,,,,,,,True,False,False,True,False,False,False,False,True,False,False,boundary_limited_and_high_chi_square,True,True,True
NGC7814,burkert,True,ok:4,45.20434305974796,39.161828371154144,591.4274255673122,593.2081690831045,,,100000.0,43.23410663814237,,,,,False,False,False,False,True,False,False,False,True,True,True,boundary_limited_and_high_chi_square,False,False,False
