galaxy_id,model_name,fit_success,fit_status,rmse_kms,reduced_chi_square,aic,bic,rho_s,r_s,rho_0,r_0,log10_rho_s,log10_r_s,log10_rho_0,log10_r_0,rho_s_lower_bound,rho_s_upper_bound,r_s_lower_bound,r_s_upper_bound,rho_0_lower_bound,rho_0_upper_bound,r_0_lower_bound,r_0_upper_bound,high_reduced_chi_square,very_high_reduced_chi_square,poor_rmse_relative_to_velocity,model_status,best_rmse_in_galaxy,best_aic_in_galaxy,best_bic_in_galaxy
DDO154,baryonic_only,True,fixed_baryonic_model,22.680803776816237,5924.837387512842,65173.21126264126,65173.21126264126,,,,,,,,,False,False,False,False,False,False,False,False,True,True,True,high_chi_square,False,False,False
DDO154,nfw,True,ok:2,3.4575917150077315,18.520828347249267,170.68745512524342,171.65726842481942,858401.9685851275,23.394456257331893,,,5.933690704932589,1.369112955611354,,,False,False,False,False,False,False,False,False,True,False,False,high_chi_square,True,True,True
DDO154,burkert,True,ok:4,11.323271067231005,258.88161450556953,2333.9345305501256,2334.9043438497015,,,100.0000000000001,375.46219759894535,,,2.0000000000000004,2.574566217769954,False,False,False,False,True,False,False,False,True,True,True,boundary_limited_and_high_chi_square,False,False,False
NGC2403,baryonic_only,True,fixed_baryonic_model,37.895599436401874,2076.45642200076,149504.86238405472,149504.86238405472,,,,,,,,,False,False,False,False,False,False,False,False,True,True,True,high_chi_square,False,False,False
NGC2403,nfw,True,ok:2,9.754640848918134,41.233549039596454,2890.348432771752,2894.929351654049,409552.72597160895,96.68622300538648,,,5.612309820930314,1.9853645950860908,,,False,False,False,False,False,False,False,False,True,True,False,high_chi_square,True,True,True
NGC2403,burkert,True,ok:2,30.05214205115651,454.50075965381575,31819.0531757671,31823.6340946494,,,100.00000000000033,805.1864362414931,,,2.0000000000000013,2.905896450375722,False,False,False,False,True,False,False,False,True,True,True,boundary_limited_and_high_chi_square,False,False,False
NGC3198,baryonic_only,True,fixed_baryonic_model,37.60592238748666,301.078096683286,12645.280060698013,12645.280060698013,,,,,,,,,False,False,False,False,False,False,False,False,True,True,True,high_chi_square,False,False,False
NGC3198,nfw,True,ok:2,13.015621885463789,15.77786609378461,635.1146437513844,638.6370439827715,36291.53456101843,492.7118123734384,,,4.559805332413619,2.692592974264167,,,False,False,False,False,False,False,False,False,True,False,False,high_chi_square,True,True,True
NGC3198,burkert,True,ok:2,33.061467722058296,119.53318920539724,4785.32756821589,4788.849968447277,,,100.0000000000001,829.3044244759016,,,2.0000000000000004,2.9187139824212016,False,False,False,False,True,False,False,False,True,True,True,boundary_limited_and_high_chi_square,False,False,False
NGC6503,baryonic_only,True,fixed_baryonic_model,41.67287570412551,854.8356287477708,25645.068862433123,25645.068862433123,,,,,,,,,False,False,False,False,False,False,False,False,True,True,True,high_chi_square,False,False,False
NGC6503,nfw,True,ok:2,10.492415925900582,25.050038411085872,705.4010755104044,708.2690499193748,687915.664558113,46.06965299520322,,,5.837535198901111,1.6634149410819397,,,False,False,False,False,False,False,False,False,True,True,False,high_chi_square,True,True,True
NGC6503,burkert,True,ok:2,19.97061550277474,83.94627017781275,2354.495564978757,2357.3635393877275,,,100.00000000003548,833.6048364983648,,,2.000000000000154,2.920960225699281,False,False,False,False,True,False,False,False,True,True,False,boundary_limited_and_high_chi_square,False,False,False
IC2574,baryonic_only,True,fixed_baryonic_model,18.897457874966214,224.4648231830265,7407.339165039874,7407.339165039874,,,,,,,,,False,False,False,False,False,False,False,False,True,True,True,high_chi_square,False,False,False
IC2574,nfw,True,ok:4,5.8935492929755,36.30620788009155,1129.492444282838,1132.5451653320704,6867.658807380123,999.9999999998508,,,3.836808710811413,2.999999999999935,,,False,False,False,True,False,False,False,False,True,True,False,boundary_limited_and_high_chi_square,True,True,True
IC2574,burkert,True,ok:2,16.4230952067657,198.66709989794987,6162.680096836446,6165.732817885678,,,100.0000000249367,135.6782549019945,,,2.0000000001082987,2.1325102490392003,False,False,False,False,True,False,False,False,True,True,True,boundary_limited_and_high_chi_square,False,False,False
NGC7814,baryonic_only,True,fixed_baryonic_model,53.457344257273526,165.38464836668624,2811.539022233666,2811.539022233666,,,,,,,,,False,False,False,False,False,False,False,False,True,True,True,high_chi_square,False,False,False
NGC7814,nfw,True,ok:4,29.619693607155615,10.556637683189171,162.34956524783755,164.1303087636299,55040.953018233566,999.999999999999,,,4.740685944976306,2.9999999999999996,,,False,False,False,True,False,False,False,False,True,False,False,boundary_limited_and_high_chi_square,True,True,True
NGC7814,burkert,True,ok:2,43.0050110443022,33.66716863348834,509.0075295023251,510.7882730181174,,,162.21358949703253,999.9999999997332,,,2.210087234562879,2.999999999999884,False,False,False,False,False,False,False,True,True,True,False,boundary_limited_and_high_chi_square,False,False,False
