model_name,galaxy_id,fit_success,fit_status,fitting_mode,rho_s,r_s,rho_s_bounds,r_s_bounds,rho_0,r_0,rho_0_bounds,r_0_bounds
nfw,DDO154,True,ok:2,legacy_linear,858413.045094569,23.39420082407018,"(100000.0, 1000000000.0)","(0.1, 100.0)",,,,
burkert,DDO154,True,ok:4,legacy_linear,,,,,100000.00000001393,12.727839272769533,"(100000.0, 1000000000.0)","(0.1, 100.0)"
nfw,NGC2403,True,ok:2,legacy_linear,409569.5768076088,96.68270094701747,"(100000.0, 1000000000.0)","(0.1, 100.0)",,,,
burkert,NGC2403,True,ok:4,legacy_linear,,,,,100000.00000000001,27.28775039458908,"(100000.0, 1000000000.0)","(0.1, 100.0)"
nfw,NGC3198,True,ok:2,legacy_linear,231938.36203111932,99.99999999999993,"(100000.0, 1000000000.0)","(0.1, 100.0)",,,,
burkert,NGC3198,True,ok:4,legacy_linear,,,,,100000.0000000001,29.206263886339237,"(100000.0, 1000000000.0)","(0.1, 100.0)"
nfw,NGC6503,True,ok:2,legacy_linear,687967.8360015535,46.067001113422876,"(100000.0, 1000000000.0)","(0.1, 100.0)",,,,
burkert,NGC6503,True,ok:4,legacy_linear,,,,,100000.00000000007,29.429555369442607,"(100000.0, 1000000000.0)","(0.1, 100.0)"
nfw,IC2574,True,ok:4,legacy_linear,100000.00000000006,74.91492183345072,"(100000.0, 1000000000.0)","(0.1, 100.0)",,,,
burkert,IC2574,True,ok:3,legacy_linear,,,,,100000.00000000076,3.7114654111288505,"(100000.0, 1000000000.0)","(0.1, 100.0)"
nfw,NGC7814,True,ok:2,legacy_linear,642535.0655444327,99.99999999937808,"(100000.0, 1000000000.0)","(0.1, 100.0)",,,,
burkert,NGC7814,True,ok:4,legacy_linear,,,,,100000.00000000001,43.23410663814237,"(100000.0, 1000000000.0)","(0.1, 100.0)"
