model_name,galaxy_id,fit_success,fit_status,fitting_mode,n_starts_attempted,n_starts_successful,rho_s_msun_kpc3,r_s_kpc,log10_rho_s,log10_r_s,rho_s_bounds,r_s_bounds,log10_rho_s_bounds,log10_r_s_bounds,rho_0_msun_kpc3,r_0_kpc,log10_rho_0,log10_r_0,rho_0_bounds,r_0_bounds,log10_rho_0_bounds,log10_r_0_bounds
nfw,DDO154,True,ok:2,log_multistart,4,4,858401.9685851275,23.394456257331893,5.933690704932589,1.369112955611354,"(100.0, 100000000000.0)","(0.05011872336272722, 1000.0)","(2.0, 11.0)","(-1.3, 3.0)",,,,,,,,
burkert,DDO154,True,ok:4,log_multistart,4,4,,,,,,,,,100.0000000000001,375.46219759894535,2.0000000000000004,2.574566217769954,"(100.0, 100000000000.0)","(0.05011872336272722, 1000.0)","(2.0, 11.0)","(-1.3, 3.0)"
nfw,NGC2403,True,ok:2,log_multistart,4,4,409552.72597160895,96.68622300538648,5.612309820930314,1.9853645950860908,"(100.0, 100000000000.0)","(0.05011872336272722, 1000.0)","(2.0, 11.0)","(-1.3, 3.0)",,,,,,,,
burkert,NGC2403,True,ok:2,log_multistart,4,4,,,,,,,,,100.00000000000031,805.1864362414931,2.0000000000000013,2.905896450375722,"(100.0, 100000000000.0)","(0.05011872336272722, 1000.0)","(2.0, 11.0)","(-1.3, 3.0)"
nfw,NGC3198,True,ok:2,log_multistart,4,4,36291.53456101843,492.7118123734384,4.559805332413619,2.6925929742641674,"(100.0, 100000000000.0)","(0.05011872336272722, 1000.0)","(2.0, 11.0)","(-1.3, 3.0)",,,,,,,,
burkert,NGC3198,True,ok:2,log_multistart,4,4,,,,,,,,,100.0000000000001,829.3044244759016,2.0000000000000004,2.9187139824212016,"(100.0, 100000000000.0)","(0.05011872336272722, 1000.0)","(2.0, 11.0)","(-1.3, 3.0)"
nfw,NGC6503,True,ok:2,log_multistart,4,4,687915.664558113,46.06965299520322,5.837535198901111,1.6634149410819397,"(100.0, 100000000000.0)","(0.05011872336272722, 1000.0)","(2.0, 11.0)","(-1.3, 3.0)",,,,,,,,
burkert,NGC6503,True,ok:2,log_multistart,4,4,,,,,,,,,100.00000000003548,833.6048364983648,2.000000000000154,2.920960225699281,"(100.0, 100000000000.0)","(0.05011872336272722, 1000.0)","(2.0, 11.0)","(-1.3, 3.0)"
nfw,IC2574,True,ok:4,log_multistart,4,4,6867.658807380123,999.9999999998507,3.8368087108114124,2.999999999999935,"(100.0, 100000000000.0)","(0.05011872336272722, 1000.0)","(2.0, 11.0)","(-1.3, 3.0)",,,,,,,,
burkert,IC2574,True,ok:2,log_multistart,4,4,,,,,,,,,100.0000000249367,135.67825490199453,2.0000000001082987,2.1325102490392003,"(100.0, 100000000000.0)","(0.05011872336272722, 1000.0)","(2.0, 11.0)","(-1.3, 3.0)"
nfw,NGC7814,True,ok:4,log_multistart,4,4,55040.953018233566,999.999999999999,4.740685944976306,2.9999999999999996,"(100.0, 100000000000.0)","(0.05011872336272722, 1000.0)","(2.0, 11.0)","(-1.3, 3.0)",,,,,,,,
burkert,NGC7814,True,ok:2,log_multistart,4,4,,,,,,,,,162.21358949703253,999.9999999997331,2.210087234562879,2.999999999999884,"(100.0, 100000000000.0)","(0.05011872336272722, 1000.0)","(2.0, 11.0)","(-1.3, 3.0)"
