galaxy_id,model_name,rmse_legacy,rmse_refit,delta_rmse,aic_legacy,aic_refit,delta_aic,bic_legacy,bic_refit,delta_bic,legacy_model_status,refit_model_status,boundary_status_improved,chi_square_status_improved
DDO154,baryonic_only,22.680803776816237,22.680803776816237,0.0,65173.21126264126,65173.21126264126,0.0,65173.21126264126,65173.21126264126,0.0,high_chi_square,high_chi_square,False,False
DDO154,nfw,3.457591781356456,3.4575917150077315,-6.63487242924532e-08,170.68745512474987,170.68745512524342,4.935429842589656e-10,171.65726842432588,171.65726842481942,4.935429842589656e-10,boundary_limited_and_high_chi_square,high_chi_square,True,False
DDO154,burkert,12.5030095313304,11.323271067231005,-1.1797384640993958,2963.236579730475,2333.9345305501256,-629.3020491803495,2964.206393030051,2334.9043438497015,-629.3020491803495,boundary_limited_and_high_chi_square,boundary_limited_and_high_chi_square,False,False
NGC2403,baryonic_only,37.895599436401874,37.895599436401874,0.0,149504.86238405472,149504.86238405472,0.0,149504.86238405472,149504.86238405472,0.0,high_chi_square,high_chi_square,False,False
NGC2403,nfw,9.754645689179162,9.754640848918134,-4.8402610275388724e-06,2890.34843262354,2890.348432771752,1.4821216609561816e-07,2894.9293515058366,2894.929351654049,1.4821216609561816e-07,boundary_limited_and_high_chi_square,high_chi_square,True,False
NGC2403,burkert,33.59177403604455,30.05214205115651,-3.5396319848880395,39908.55067961252,31819.0531757671,-8089.497503845418,39913.131598494816,31823.6340946494,-8089.497503845418,boundary_limited_and_high_chi_square,boundary_limited_and_high_chi_square,False,False
NGC3198,baryonic_only,37.60592238748666,37.60592238748666,0.0,12645.280060698013,12645.280060698013,0.0,12645.280060698013,12645.280060698013,0.0,high_chi_square,high_chi_square,False,False
NGC3198,nfw,13.270914991093797,13.015621885463787,-0.2552931056300096,714.6618470751246,635.1146437513844,-79.54720332374018,718.1842473065117,638.6370439827715,-79.54720332374018,boundary_limited_and_high_chi_square,high_chi_square,True,False
NGC3198,burkert,38.87674619404602,33.061467722058296,-5.815278471987725,7287.314458211903,4785.32756821589,-2501.986889996013,7290.83685844329,4788.849968447277,-2501.986889996013,boundary_limited_and_high_chi_square,boundary_limited_and_high_chi_square,False,False
NGC6503,baryonic_only,41.67287570412551,41.67287570412551,0.0,25645.068862433123,25645.068862433123,0.0,25645.068862433123,25645.068862433123,0.0,high_chi_square,high_chi_square,False,False
NGC6503,nfw,10.49242139546994,10.492415925900582,-5.4695693574302595e-06,705.4010755890134,705.4010755104044,-7.860899131628685e-08,708.2690499979838,708.2690499193748,-7.860899131628685e-08,boundary_limited_and_high_chi_square,high_chi_square,True,False
NGC6503,burkert,23.324153602928163,19.97061550277474,-3.353538100153422,3213.1038087050965,2354.495564978757,-858.6082437263394,3215.971783114067,2357.3635393877275,-858.6082437263394,boundary_limited_and_high_chi_square,boundary_limited_and_high_chi_square,False,False
IC2574,baryonic_only,18.897457874966214,18.897457874966218,3.552713678800501e-15,7407.339165039874,7407.339165039874,0.0,7407.339165039874,7407.339165039874,0.0,high_chi_square,high_chi_square,False,False
IC2574,nfw,6.358452872395924,5.8935492929755,-0.46490357942042415,1287.4955166467837,1129.492444282838,-158.00307236394565,1290.548237696016,1132.5451653320704,-158.00307236394565,boundary_limited_and_high_chi_square,boundary_limited_and_high_chi_square,False,False
IC2574,burkert,18.085930707603634,16.4230952067657,-1.6628355008379323,7051.574228331357,6162.680096836446,-888.8941314949107,7054.6269493805885,6165.732817885678,-888.8941314949107,boundary_limited_and_high_chi_square,boundary_limited_and_high_chi_square,False,False
NGC7814,baryonic_only,53.457344257273526,53.457344257273526,0.0,2811.539022233666,2811.539022233666,0.0,2811.539022233666,2811.539022233666,0.0,high_chi_square,high_chi_square,False,False
NGC7814,nfw,30.072672778902657,29.619693607155615,-0.4529791717470424,173.99281851612068,162.34956524783757,-11.643253268283104,175.773562031913,164.1303087636299,-11.643253268283104,boundary_limited_and_high_chi_square,boundary_limited_and_high_chi_square,False,False
NGC7814,burkert,45.20434305974796,43.0050110443022,-2.199332015445762,591.4274255673122,509.0075295023251,-82.41989606498709,593.2081690831045,510.7882730181174,-82.41989606498709,boundary_limited_and_high_chi_square,boundary_limited_and_high_chi_square,False,False
