model_name,galaxy_id,n_points,n_parameters,rmse_kms,chi_square,reduced_chi_square,aic,bic,fit_success,fit_status,data_source,data_mode,comparison_stage
baryonic_only,DDO154,12,0,22.680803776816237,65173.21126264126,5924.837387512842,65173.21126264126,65173.21126264126,True,fixed_baryonic_model,SPARC_Lelli2016,observational_raw_ingestion,phase_3a_baseline_only
nfw,DDO154,12,2,3.457591781356456,166.68745512474987,18.52082834719443,170.68745512474987,171.65726842432588,True,ok:2,SPARC_Lelli2016,observational_raw_ingestion,phase_3a_baseline_only
burkert,DDO154,12,2,12.5030095313304,2959.236579730475,328.80406441449725,2963.236579730475,2964.206393030051,True,ok:4,SPARC_Lelli2016,observational_raw_ingestion,phase_3a_baseline_only
baryonic_only,NGC2403,73,0,37.895599436401874,149504.86238405472,2076.45642200076,149504.86238405472,149504.86238405472,True,fixed_baryonic_model,SPARC_Lelli2016,observational_raw_ingestion,phase_3a_baseline_only
nfw,NGC2403,73,2,9.754645689179162,2886.34843262354,41.23354903747914,2890.34843262354,2894.9293515058366,True,ok:2,SPARC_Lelli2016,observational_raw_ingestion,phase_3a_baseline_only
burkert,NGC2403,73,2,33.59177403604455,39904.55067961252,570.0650097087503,39908.55067961252,39913.131598494816,True,ok:4,SPARC_Lelli2016,observational_raw_ingestion,phase_3a_baseline_only
baryonic_only,NGC3198,43,0,37.60592238748666,12645.280060698013,301.078096683286,12645.280060698013,12645.280060698013,True,fixed_baryonic_model,SPARC_Lelli2016,observational_raw_ingestion,phase_3a_baseline_only
nfw,NGC3198,43,2,13.270914991093795,710.6618470751246,17.766546176878116,714.6618470751246,718.1842473065117,True,ok:2,SPARC_Lelli2016,observational_raw_ingestion,phase_3a_baseline_only
burkert,NGC3198,43,2,38.87674619404602,7283.314458211903,182.08286145529758,7287.314458211903,7290.83685844329,True,ok:4,SPARC_Lelli2016,observational_raw_ingestion,phase_3a_baseline_only
baryonic_only,NGC6503,31,0,41.67287570412551,25645.068862433123,854.8356287477708,25645.068862433123,25645.068862433123,True,fixed_baryonic_model,SPARC_Lelli2016,observational_raw_ingestion,phase_3a_baseline_only
nfw,NGC6503,31,2,10.49242139546994,701.4010755890134,25.050038413893336,705.4010755890134,708.2690499979838,True,ok:2,SPARC_Lelli2016,observational_raw_ingestion,phase_3a_baseline_only
burkert,NGC6503,31,2,23.324153602928163,3209.1038087050965,114.61085031089631,3213.1038087050965,3215.971783114067,True,ok:4,SPARC_Lelli2016,observational_raw_ingestion,phase_3a_baseline_only
baryonic_only,IC2574,34,0,18.897457874966218,7407.339165039874,224.4648231830265,7407.339165039874,7407.339165039874,True,fixed_baryonic_model,SPARC_Lelli2016,observational_raw_ingestion,phase_3a_baseline_only
nfw,IC2574,34,2,6.358452872395924,1283.4955166467837,41.40308118215431,1287.4955166467837,1290.548237696016,True,ok:4,SPARC_Lelli2016,observational_raw_ingestion,phase_3a_baseline_only
burkert,IC2574,34,2,18.085930707603634,7047.574228331357,227.34110413972118,7051.574228331357,7054.6269493805885,True,ok:3,SPARC_Lelli2016,observational_raw_ingestion,phase_3a_baseline_only
baryonic_only,NGC7814,18,0,53.457344257273526,2811.539022233666,165.38464836668624,2811.539022233666,2811.539022233666,True,fixed_baryonic_model,SPARC_Lelli2016,observational_raw_ingestion,phase_3a_baseline_only
nfw,NGC7814,18,2,30.072672778902657,169.99281851612068,11.332854567741379,173.99281851612068,175.773562031913,True,ok:2,SPARC_Lelli2016,observational_raw_ingestion,phase_3a_baseline_only
burkert,NGC7814,18,2,45.20434305974796,587.4274255673122,39.161828371154144,591.4274255673122,593.2081690831045,True,ok:4,SPARC_Lelli2016,observational_raw_ingestion,phase_3a_baseline_only
