model_name,galaxy_id,n_points,n_parameters,rmse_kms,chi_square,reduced_chi_square,aic,bic,fit_success,fit_status,data_source,data_mode,comparison_stage
baryonic_only,DDO154,12,0,22.680803776816237,65173.21126264126,5924.837387512842,65173.21126264126,65173.21126264126,True,fixed_baryonic_model,SPARC_Lelli2016,observational_raw_ingestion,phase_3a_r_robust_refit
nfw,DDO154,12,2,3.4575917150077315,166.68745512524342,18.520828347249267,170.68745512524342,171.65726842481942,True,ok:2,SPARC_Lelli2016,observational_raw_ingestion,phase_3a_r_robust_refit
burkert,DDO154,12,2,11.323271067231005,2329.9345305501256,258.88161450556953,2333.9345305501256,2334.9043438497015,True,ok:4,SPARC_Lelli2016,observational_raw_ingestion,phase_3a_r_robust_refit
baryonic_only,NGC2403,73,0,37.895599436401874,149504.86238405472,2076.45642200076,149504.86238405472,149504.86238405472,True,fixed_baryonic_model,SPARC_Lelli2016,observational_raw_ingestion,phase_3a_r_robust_refit
nfw,NGC2403,73,2,9.754640848918134,2886.348432771752,41.233549039596454,2890.348432771752,2894.929351654049,True,ok:2,SPARC_Lelli2016,observational_raw_ingestion,phase_3a_r_robust_refit
burkert,NGC2403,73,2,30.05214205115651,31815.0531757671,454.50075965381575,31819.0531757671,31823.6340946494,True,ok:2,SPARC_Lelli2016,observational_raw_ingestion,phase_3a_r_robust_refit
baryonic_only,NGC3198,43,0,37.60592238748666,12645.280060698013,301.078096683286,12645.280060698013,12645.280060698013,True,fixed_baryonic_model,SPARC_Lelli2016,observational_raw_ingestion,phase_3a_r_robust_refit
nfw,NGC3198,43,2,13.015621885463787,631.1146437513844,15.77786609378461,635.1146437513844,638.6370439827715,True,ok:2,SPARC_Lelli2016,observational_raw_ingestion,phase_3a_r_robust_refit
burkert,NGC3198,43,2,33.061467722058296,4781.32756821589,119.53318920539725,4785.32756821589,4788.849968447277,True,ok:2,SPARC_Lelli2016,observational_raw_ingestion,phase_3a_r_robust_refit
baryonic_only,NGC6503,31,0,41.67287570412551,25645.068862433123,854.8356287477708,25645.068862433123,25645.068862433123,True,fixed_baryonic_model,SPARC_Lelli2016,observational_raw_ingestion,phase_3a_r_robust_refit
nfw,NGC6503,31,2,10.492415925900582,701.4010755104044,25.050038411085872,705.4010755104044,708.2690499193748,True,ok:2,SPARC_Lelli2016,observational_raw_ingestion,phase_3a_r_robust_refit
burkert,NGC6503,31,2,19.97061550277474,2350.495564978757,83.94627017781275,2354.495564978757,2357.3635393877275,True,ok:2,SPARC_Lelli2016,observational_raw_ingestion,phase_3a_r_robust_refit
baryonic_only,IC2574,34,0,18.897457874966218,7407.339165039874,224.4648231830265,7407.339165039874,7407.339165039874,True,fixed_baryonic_model,SPARC_Lelli2016,observational_raw_ingestion,phase_3a_r_robust_refit
nfw,IC2574,34,2,5.8935492929755,1125.492444282838,36.30620788009155,1129.492444282838,1132.5451653320704,True,ok:4,SPARC_Lelli2016,observational_raw_ingestion,phase_3a_r_robust_refit
burkert,IC2574,34,2,16.4230952067657,6158.680096836446,198.66709989794987,6162.680096836446,6165.732817885678,True,ok:2,SPARC_Lelli2016,observational_raw_ingestion,phase_3a_r_robust_refit
baryonic_only,NGC7814,18,0,53.457344257273526,2811.539022233666,165.38464836668624,2811.539022233666,2811.539022233666,True,fixed_baryonic_model,SPARC_Lelli2016,observational_raw_ingestion,phase_3a_r_robust_refit
nfw,NGC7814,18,2,29.619693607155615,158.34956524783757,10.556637683189171,162.34956524783757,164.1303087636299,True,ok:4,SPARC_Lelli2016,observational_raw_ingestion,phase_3a_r_robust_refit
burkert,NGC7814,18,2,43.0050110443022,505.0075295023251,33.66716863348834,509.0075295023251,510.7882730181174,True,ok:2,SPARC_Lelli2016,observational_raw_ingestion,phase_3a_r_robust_refit
