galaxy_id,model_name,a0_m_s2,log10_a0_m_s2,a0_fixed_or_fitted,lower_bound,upper_bound,n_parameters,fit_success,fit_status
DDO154,mond_fixed_a0_simple,1.2e-10,-9.920818753952375,fixed,1.2e-10,1.2e-10,0,True,fixed_a0
DDO154,mond_fit_a0_simple,7.812022432688925e-11,-10.107236518279853,fitted,3.1622776601683794e-12,3.1622776601683795e-10,1,True,ok:4
DDO154,rar_fixed,1.2e-10,-9.920818753952375,fixed_g_dagger,1.2e-10,1.2e-10,0,True,fixed_g_dagger
NGC2403,mond_fixed_a0_simple,1.2e-10,-9.920818753952375,fixed,1.2e-10,1.2e-10,0,True,fixed_a0
NGC2403,mond_fit_a0_simple,6.712413308376567e-11,-10.173121310221521,fitted,3.1622776601683794e-12,3.1622776601683795e-10,1,True,ok:2
NGC2403,rar_fixed,1.2e-10,-9.920818753952375,fixed_g_dagger,1.2e-10,1.2e-10,0,True,fixed_g_dagger
NGC3198,mond_fixed_a0_simple,1.2e-10,-9.920818753952375,fixed,1.2e-10,1.2e-10,0,True,fixed_a0
NGC3198,mond_fit_a0_simple,3.040813281131811e-11,-10.517010246565416,fitted,3.1622776601683794e-12,3.1622776601683795e-10,1,True,ok:2
NGC3198,rar_fixed,1.2e-10,-9.920818753952375,fixed_g_dagger,1.2e-10,1.2e-10,0,True,fixed_g_dagger
NGC6503,mond_fixed_a0_simple,1.2e-10,-9.920818753952375,fixed,1.2e-10,1.2e-10,0,True,fixed_a0
NGC6503,mond_fit_a0_simple,4.91593687077569e-11,-10.30839370285023,fitted,3.1622776601683794e-12,3.1622776601683795e-10,1,True,ok:2
NGC6503,rar_fixed,1.2e-10,-9.920818753952375,fixed_g_dagger,1.2e-10,1.2e-10,0,True,fixed_g_dagger
IC2574,mond_fixed_a0_simple,1.2e-10,-9.920818753952375,fixed,1.2e-10,1.2e-10,0,True,fixed_a0
IC2574,mond_fit_a0_simple,1.3903471797751236e-11,-10.8568767397216,fitted,3.1622776601683794e-12,3.1622776601683795e-10,1,True,ok:2
IC2574,rar_fixed,1.2e-10,-9.920818753952375,fixed_g_dagger,1.2e-10,1.2e-10,0,True,fixed_g_dagger
NGC7814,mond_fixed_a0_simple,1.2e-10,-9.920818753952375,fixed,1.2e-10,1.2e-10,0,True,fixed_a0
NGC7814,mond_fit_a0_simple,8.085884802214907e-11,-10.092272450254233,fitted,3.1622776601683794e-12,3.1622776601683795e-10,1,True,ok:2
NGC7814,rar_fixed,1.2e-10,-9.920818753952375,fixed_g_dagger,1.2e-10,1.2e-10,0,True,fixed_g_dagger
