galaxy_id,scenario_name,model_name,prior_weighted_mean_rmse,prior_weighted_median_rmse,best_plausible_rmse,fraction_prior_weight_model_wins,fraction_prior_weight_tdf_3knot_beats_nfw,fraction_prior_weight_tdf_3knot_beats_mond,fraction_prior_weight_tdf_5knot_beats_nfw,fraction_prior_weight_tdf_5knot_beats_mond,recommended_interpretation
DDO154,photometry_uniform_plausible,tdf_3knot,2.032506012710266,2.028159188371044,1.9324117843721231,0.0,1.0,1.0,1.0,1.0,Moderate photometry-informed prior support.
DDO154,photometry_uniform_plausible,tdf_5knot,1.4409858991549962,1.440656863351654,1.435033200080552,1.0,1.0,1.0,1.0,1.0,Moderate photometry-informed prior support.
DDO154,photometry_uniform_plausible,nfw_refit_scaled,3.563830606735309,3.561967042755863,3.270415434047661,0.0,1.0,1.0,1.0,1.0,Baseline competitive under morphology-aware photometry prior.
DDO154,photometry_uniform_plausible,mond_fit_a0_scaled,3.940689658771387,3.983855795867608,3.184533787079181,0.0,1.0,1.0,1.0,1.0,Baseline competitive under morphology-aware photometry prior.
DDO154,morphology_aware_conservative,tdf_3knot,2.031613327289551,2.028159188371044,1.9324117843721231,0.0,1.0,1.0,1.0,1.0,Moderate photometry-informed prior support.
DDO154,morphology_aware_conservative,tdf_5knot,1.4409183267293324,1.440656863351654,1.435033200080552,1.0,1.0,1.0,1.0,1.0,Moderate photometry-informed prior support.
DDO154,morphology_aware_conservative,nfw_refit_scaled,3.5634478959871405,3.561967042755863,3.270415434047661,0.0,1.0,1.0,1.0,1.0,Baseline competitive under morphology-aware photometry prior.
DDO154,morphology_aware_conservative,mond_fit_a0_scaled,3.9495544709301593,3.983855795867608,3.184533787079181,0.0,1.0,1.0,1.0,1.0,Baseline competitive under morphology-aware photometry prior.
DDO154,canonical_anchor_prior,tdf_3knot,2.029085677377159,2.028159188371044,1.9324117843721231,0.0,1.0,1.0,1.0,1.0,Moderate photometry-informed prior support.
DDO154,canonical_anchor_prior,tdf_5knot,1.4407967496724727,1.440656863351654,1.435033200080552,1.0,1.0,1.0,1.0,1.0,Moderate photometry-informed prior support.
DDO154,canonical_anchor_prior,nfw_refit_scaled,3.561099653030293,3.561967042755863,3.270415434047661,0.0,1.0,1.0,1.0,1.0,Baseline competitive under morphology-aware photometry prior.
DDO154,canonical_anchor_prior,mond_fit_a0_scaled,3.965754406268634,3.983855795867608,3.184533787079181,0.0,1.0,1.0,1.0,1.0,Baseline competitive under morphology-aware photometry prior.
IC2574,photometry_uniform_plausible,tdf_3knot,2.9831626285194157,2.9826962881451915,2.979359675237586,0.0,1.0,1.0,1.0,1.0,Moderate photometry-informed prior support.
IC2574,photometry_uniform_plausible,tdf_5knot,1.7371313248193678,1.7320131108365184,1.7005811809053475,1.0,1.0,1.0,1.0,1.0,Moderate photometry-informed prior support.
IC2574,photometry_uniform_plausible,nfw_refit_scaled,6.39395576822465,6.3878316878885135,5.896317412864284,0.0,1.0,1.0,1.0,1.0,Baseline competitive under morphology-aware photometry prior.
IC2574,photometry_uniform_plausible,mond_fit_a0_scaled,6.2245145473054775,6.294218833673776,5.420742894553859,0.0,1.0,1.0,1.0,1.0,Baseline competitive under morphology-aware photometry prior.
IC2574,morphology_aware_conservative,tdf_3knot,2.9823816351584194,2.9826962881451915,2.979359675237586,0.0,1.0,1.0,1.0,1.0,Moderate photometry-informed prior support.
