cohort_name,galaxy_id,cohort_role,in_cohort,selection_order,cumulative_galaxy_count
expansion_12,DDO154,original_controlled_six,True,1,1
expansion_12,IC2574,original_controlled_six,True,2,2
expansion_12,NGC2403,original_controlled_six,True,3,3
expansion_12,NGC3198,original_controlled_six,True,4,4
expansion_12,NGC6503,original_controlled_six,True,5,5
expansion_12,NGC7814,original_controlled_six,True,6,6
expansion_12,UGC02953,expansion_addition,True,7,7
expansion_12,UGC05253,expansion_addition,True,8,8
expansion_12,NGC5055,expansion_addition,True,9,9
expansion_12,UGC00128,expansion_addition,True,10,10
expansion_12,NGC0289,expansion_addition,True,11,11
expansion_12,DDO161,expansion_addition,True,12,12
expansion_20,DDO154,original_controlled_six,True,1,1
expansion_20,IC2574,original_controlled_six,True,2,2
expansion_20,NGC2403,original_controlled_six,True,3,3
expansion_20,NGC3198,original_controlled_six,True,4,4
expansion_20,NGC6503,original_controlled_six,True,5,5
expansion_20,NGC7814,original_controlled_six,True,6,6
expansion_20,UGC02953,expansion_addition,True,7,7
expansion_20,UGC05253,expansion_addition,True,8,8
expansion_20,UGC09133,expansion_addition,True,9,9
expansion_20,UGC06787,expansion_addition,True,10,10
expansion_20,NGC5055,expansion_addition,True,11,11
expansion_20,UGC00128,expansion_addition,True,12,12
expansion_20,NGC0289,expansion_addition,True,13,13
expansion_20,UGC12506,expansion_addition,True,14,14
expansion_20,UGC11455,expansion_addition,True,15,15
expansion_20,NGC6015,expansion_addition,True,16,16
expansion_20,DDO161,expansion_addition,True,17,17
expansion_20,NGC7793,expansion_addition,True,18,18
expansion_20,UGC07524,expansion_addition,True,19,19
expansion_20,UGC08490,expansion_addition,True,20,20
