galaxy_id,selected,selection_rank,n_points,r_min_kpc,r_max_kpc,radial_coverage_kpc,v_obs_min_kms,v_obs_max_kms,median_v_err_kms,has_bulge,n_negative_residual_points,negative_residual_fraction,quality_flag,rejection_reason,data_source,data_mode
DDO154,True,1.0,12,0.49,5.92,5.43,13.8,48.2,0.55,False,0,0.0,selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC2403,True,2.0,73,0.16,20.87,20.71,24.5,136.0,1.8,False,28,0.3835616438356164,selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC3198,True,3.0,43,0.32,44.08,43.76,24.4,157.0,2.36,False,10,0.23255813953488372,selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC6503,True,4.0,31,0.76,23.5,22.74,77.0,121.0,2.0,False,4,0.12903225806451613,selected,,SPARC_Lelli2016,observational_raw_ingestion
IC2574,True,5.0,34,0.85,10.23,9.38,10.3,67.5,2.1,False,0,0.0,selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC7814,True,6.0,18,0.63,19.53,18.900000000000002,214.0,265.0,4.825,True,5,0.2777777777777778,selected,,SPARC_Lelli2016,observational_raw_ingestion
CamB,False,,9,0.16,1.79,1.6300000000000001,1.99,20.1,1.5,False,8,0.8888888888888888,rejected_quality,n_points<12;radial_coverage<=5.0,SPARC_Lelli2016,observational_raw_ingestion
D512-2,False,,4,0.96,3.83,2.87,22.9,37.2,3.45,False,0,0.0,rejected_quality,n_points<12;radial_coverage<=5.0,SPARC_Lelli2016,observational_raw_ingestion
D564-8,False,,6,0.51,3.07,2.5599999999999996,8.54,25.0,1.81,False,0,0.0,rejected_quality,n_points<12;radial_coverage<=5.0,SPARC_Lelli2016,observational_raw_ingestion
D631-7,False,,16,0.45,7.19,6.74,8.41,58.5,2.205,False,3,0.1875,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
DDO064,False,,14,0.1,2.98,2.88,6.29,46.9,4.62,False,0,0.0,rejected_quality,radial_coverage<=5.0,SPARC_Lelli2016,observational_raw_ingestion
DDO161,False,,31,0.6,13.37,12.77,16.0,67.5,2.09,False,0,0.0,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
DDO168,False,,10,0.41,4.12,3.71,15.0,55.0,1.6,False,0,0.0,rejected_quality,n_points<12;radial_coverage<=5.0,SPARC_Lelli2016,observational_raw_ingestion
DDO170,False,,8,1.87,12.33,10.46,27.7,62.2,1.15,False,0,0.0,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
ESO079-G014,False,,15,0.41,16.67,16.26,33.2,178.0,5.1,False,3,0.2,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
ESO116-G012,False,,15,0.25,9.86,9.61,20.9,112.0,2.96,False,0,0.0,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
ESO444-G084,False,,7,0.26,4.44,4.180000000000001,18.3,63.1,3.0,False,0,0.0,rejected_quality,n_points<12;radial_coverage<=5.0,SPARC_Lelli2016,observational_raw_ingestion
ESO563-G021,False,,30,0.45,42.41,41.959999999999994,18.9,321.0,8.95,False,5,0.16666666666666666,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
F561-1,False,,6,1.61,9.66,8.05,23.4,50.4,5.0,False,3,0.5,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
F563-1,False,,17,1.07,20.1,19.03,22.1,112.5,10.7,False,0,0.0,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
F563-V1,False,,6,1.31,7.87,6.5600000000000005,12.0,29.5,5.0,False,3,0.5,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
F563-V2,False,,10,0.28,10.47,10.190000000000001,11.9,118.0,11.44,False,0,0.0,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
F565-V2,False,,7,1.26,8.8,7.540000000000001,21.7,83.1,7.0,False,0,0.0,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
F567-2,False,,5,1.92,9.59,7.67,26.9,52.2,8.0,False,0,0.0,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
F568-1,False,,12,0.44,13.23,12.790000000000001,15.7,142.0,9.1,False,0,0.0,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
F568-3,False,,18,0.64,17.98,17.34,12.4,120.0,8.29,False,1,0.05555555555555555,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
