galaxy_id,model_name,K_tau,knot_index,knot_r_kpc,knot_position_rule,fitted_dtaudr,lower_bound,upper_bound,n_parameters,fit_success,fit_status
DDO154,tdf_3knot,1.0,0,0.49,"r_min,r_mid,r_max",306.32344175302626,-163.19426089454666,692.9811500285786,3,True,ok:2
DDO154,tdf_3knot,1.0,1,3.205,"r_min,r_mid,r_max",490.8562890638934,-163.19426089454666,692.9811500285786,3,True,ok:2
DDO154,tdf_3knot,1.0,2,5.92,"r_min,r_mid,r_max",331.79920318218353,-163.19426089454666,692.9811500285786,3,True,ok:2
DDO154,tdf_4knot,1.0,0,0.49,"r_min,r_min+span/3,r_min+2span/3,r_max",143.37419984854452,-163.19426089454666,692.9811500285786,4,True,ok:2
DDO154,tdf_4knot,1.0,1,2.3,"r_min,r_min+span/3,r_min+2span/3,r_max",491.2405730336242,-163.19426089454666,692.9811500285786,4,True,ok:2
DDO154,tdf_4knot,1.0,2,4.109999999999999,"r_min,r_min+span/3,r_min+2span/3,r_max",446.4095197188683,-163.19426089454666,692.9811500285786,4,True,ok:2
DDO154,tdf_4knot,1.0,3,5.92,"r_min,r_min+span/3,r_min+2span/3,r_max",323.25116404266566,-163.19426089454666,692.9811500285786,4,True,ok:2
DDO154,tdf_5knot,1.0,0,0.49,"r_min,r_min+span/4,r_mid,r_min+3span/4,r_max",74.35504730333622,-163.19426089454666,692.9811500285786,5,True,ok:2
DDO154,tdf_5knot,1.0,1,1.8475,"r_min,r_min+span/4,r_mid,r_min+3span/4,r_max",449.8418833898146,-163.19426089454666,692.9811500285786,5,True,ok:2
DDO154,tdf_5knot,1.0,2,3.205,"r_min,r_min+span/4,r_mid,r_min+3span/4,r_max",479.2069650889568,-163.19426089454666,692.9811500285786,5,True,ok:2
DDO154,tdf_5knot,1.0,3,4.5625,"r_min,r_min+span/4,r_mid,r_min+3span/4,r_max",420.8545735998308,-163.19426089454666,692.9811500285786,5,True,ok:2
DDO154,tdf_5knot,1.0,4,5.92,"r_min,r_min+span/4,r_mid,r_min+3span/4,r_max",316.32500107161337,-163.19426089454666,692.9811500285786,5,True,ok:2
NGC2403,tdf_3knot,1.0,0,0.16,"r_min,r_mid,r_max",913.4361265438873,-2228.6469864729333,2217.5366115907154,3,True,ok:2
NGC2403,tdf_3knot,1.0,1,10.515,"r_min,r_mid,r_max",983.8730018758708,-2228.6469864729333,2217.5366115907154,3,True,ok:2
NGC2403,tdf_3knot,1.0,2,20.87,"r_min,r_mid,r_max",664.1255926546932,-2228.6469864729333,2217.5366115907154,3,True,ok:2
