model_name,galaxy_id,n_points,n_parameters,rmse_kms,chi_square,reduced_chi_square,aic,bic,fit_success,fit_status,data_source,data_mode,comparison_stage
tdf_3knot,DDO154,12,3,1.5921349231760653,35.98623594722198,4.498279493402747,41.98623594722198,43.440955896585976,True,ok:2,SPARC_Lelli2016,observational_raw_ingestion,phase_3b_tdf_knot_fit
tdf_4knot,DDO154,12,4,0.7820894958237656,12.91520154791902,1.84502879255986,20.91520154791902,22.85482814707102,True,ok:2,SPARC_Lelli2016,observational_raw_ingestion,phase_3b_tdf_knot_fit
tdf_5knot,DDO154,12,5,0.40907004305810807,4.160778997052162,0.6934631661753604,14.160778997052162,16.585312245992164,True,ok:2,SPARC_Lelli2016,observational_raw_ingestion,phase_3b_tdf_knot_fit
tdf_3knot,NGC2403,73,3,8.772620034196754,2672.2288854293665,38.72795486129517,2678.2288854293665,2685.1002637528118,True,ok:2,SPARC_Lelli2016,observational_raw_ingestion,phase_3b_tdf_knot_fit
tdf_4knot,NGC2403,73,4,5.24102142377372,1213.2592373036719,17.84204760740694,1221.2592373036719,1230.4210750682655,True,ok:2,SPARC_Lelli2016,observational_raw_ingestion,phase_3b_tdf_knot_fit
tdf_5knot,NGC2403,73,5,3.342201802135752,412.0714286204466,6.15031983015592,422.0714286204466,433.5237258261886,True,ok:2,SPARC_Lelli2016,observational_raw_ingestion,phase_3b_tdf_knot_fit
tdf_3knot,NGC3198,43,3,11.58351994363047,317.34873477988333,8.137147045638034,323.34873477988333,328.632335126964,True,ok:2,SPARC_Lelli2016,observational_raw_ingestion,phase_3b_tdf_knot_fit
tdf_4knot,NGC3198,43,4,10.203522823889353,89.99777377411344,2.368362467739827,97.99777377411344,105.04257423688769,True,ok:2,SPARC_Lelli2016,observational_raw_ingestion,phase_3b_tdf_knot_fit
tdf_5knot,NGC3198,43,5,9.865730773159207,62.512240623933984,1.6895200168630806,72.51224062393399,81.3182412024018,True,ok:2,SPARC_Lelli2016,observational_raw_ingestion,phase_3b_tdf_knot_fit
tdf_3knot,NGC6503,31,3,9.506386482195984,571.8710542972447,21.18040941841647,577.8710542972447,582.1730159107001,True,ok:2,SPARC_Lelli2016,observational_raw_ingestion,phase_3b_tdf_knot_fit
tdf_4knot,NGC6503,31,4,7.68509208183087,361.8819508175449,13.918536569905573,369.8819508175449,375.6178996354855,True,ok:2,SPARC_Lelli2016,observational_raw_ingestion,phase_3b_tdf_knot_fit
tdf_5knot,NGC6503,31,5,6.485887101228809,216.87044775011898,8.674817910004759,226.87044775011898,234.04038377254471,True,ok:2,SPARC_Lelli2016,observational_raw_ingestion,phase_3b_tdf_knot_fit
tdf_3knot,IC2574,34,3,2.6197249705907217,78.46784178072723,2.615594726024241,84.46784178072723,89.04692335457571,True,ok:2,SPARC_Lelli2016,observational_raw_ingestion,phase_3b_tdf_knot_fit
tdf_4knot,IC2574,34,4,2.220318581366541,65.62543264991066,2.2629459534451954,73.62543264991066,79.73087474837531,True,ok:2,SPARC_Lelli2016,observational_raw_ingestion,phase_3b_tdf_knot_fit
tdf_5knot,IC2574,34,5,1.8457838188922162,11.48344290330731,0.4101229608324039,21.48344290330731,29.11524552638812,True,ok:2,SPARC_Lelli2016,observational_raw_ingestion,phase_3b_tdf_knot_fit
tdf_3knot,NGC7814,18,3,25.270186486565944,95.99664982624529,6.85690355901752,101.99664982624529,104.66776509993377,True,ok:2,SPARC_Lelli2016,observational_raw_ingestion,phase_3b_tdf_knot_fit
tdf_4knot,NGC7814,18,4,123.30709479043857,6327.093811827523,486.6995239867325,6335.093811827523,6338.6552988591075,True,ok:2;negative_v2_regions,SPARC_Lelli2016,observational_raw_ingestion,phase_3b_tdf_knot_fit
tdf_5knot,NGC7814,18,5,17.44309679604168,30.959809504985977,2.579984125415498,40.95980950498598,45.4116682944668,True,ok:2,SPARC_Lelli2016,observational_raw_ingestion,phase_3b_tdf_knot_fit
