galaxy_id,model_name,fit_success,fit_status,negative_v2_flag
DDO154,tdf_3knot,True,ok:2,False
DDO154,tdf_4knot,True,ok:2,False
DDO154,tdf_5knot,True,ok:2,False
NGC2403,tdf_3knot,True,ok:2,False
NGC2403,tdf_4knot,True,ok:2,False
NGC2403,tdf_5knot,True,ok:2,False
NGC3198,tdf_3knot,True,ok:2,False
NGC3198,tdf_4knot,True,ok:2,False
NGC3198,tdf_5knot,True,ok:2,False
NGC6503,tdf_3knot,True,ok:2,False
NGC6503,tdf_4knot,True,ok:2,False
NGC6503,tdf_5knot,True,ok:2,False
IC2574,tdf_3knot,True,ok:2,False
IC2574,tdf_4knot,True,ok:2,False
IC2574,tdf_5knot,True,ok:2,False
NGC7814,tdf_3knot,True,ok:2,False
NGC7814,tdf_4knot,True,ok:2;negative_v2_regions,True
NGC7814,tdf_5knot,True,ok:2,False
