galaxy_id,r_kpc,v_obs_kms,v_err_kms,v_bar_kms,residual_v2_kms2,residual_policy_applied,K_tau,dtaudr_reconstructed,tau_reconstructed,dtaudr_smoothed_diagnostic,tau_smoothed_diagnostic,negative_residual_flag,data_source,data_mode,reconstruction_stage
IC2574,0.85,10.3,0.2,9.59,14.121900000000025,allow_signed,1.0,16.61400000000003,0.0,19.616303566893034,0.0,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
IC2574,1.14,12.9,2.7,11.99,22.649900000000002,allow_signed,1.0,19.868333333333336,5.289938333333336,29.40312960213218,7.107817809508654,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
IC2574,1.42,16.4,1.8,13.861908238045729,76.80749999999995,allow_signed,1.0,54.08978873239433,15.64407542253521,44.607068842488616,17.469245591755566,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
IC2574,1.71,18.6,2.1,15.652683476005,100.95350000000005,allow_signed,1.0,59.037134502924005,32.04747929165637,56.60749990549071,32.14535806021257,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
IC2574,1.99,19.8,2.0,17.53046491111973,84.72279999999995,allow_signed,1.0,42.574271356783896,46.27307611201548,78.04017921291135,50.99603313678887,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
IC2574,2.28,26.1,0.6,18.698804774637335,331.5647000000001,allow_signed,1.0,145.42311403508776,73.53269699383685,116.36149227751928,79.18427550290129,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
IC2574,2.55,27.7,2.7,19.922020479860972,370.40309999999994,allow_signed,1.0,145.2561176470588,112.77439327092664,145.79912378600903,114.57595867147762,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
IC2574,2.84,29.7,2.6,20.791007671587252,449.82399999999996,allow_signed,1.0,158.3887323943662,156.80289652693327,167.20362244558305,159.96135687505847,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
IC2574,3.13,33.0,3.4,21.517811226981244,625.9838,allow_signed,1.0,199.99482428115016,208.76851224488314,190.18926897564185,211.7833261311361,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
IC2574,3.41,34.8,1.2,22.01645975174029,726.3154999999997,allow_signed,1.0,212.9957478005864,266.5871923363263,206.22046958034787,267.28068952897473,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
IC2574,3.7,35.0,0.9,21.924235448471173,744.3279,allow_signed,1.0,201.1697027027027,326.64118265930324,217.4067450923421,328.7066356565148,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
IC2574,3.98,39.0,10.2,21.89594711356419,1041.5675,allow_signed,1.0,261.70037688442216,391.4429938015007,221.75836420677635,390.1897509583913,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
IC2574,4.26,35.9,5.4,22.723540657212737,772.4506999999996,allow_signed,1.0,181.32645539906096,453.4667503211883,209.14762838610517,450.51658992139465,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
IC2574,4.55,40.0,4.1,24.82737400531921,983.6015,allow_signed,1.0,216.17615384615385,511.1046286617444,194.07855769769105,508.9843869035451,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
IC2574,4.84,38.7,1.4,27.12151175727489,762.1136000000001,allow_signed,1.0,157.4614876033058,565.2820866719161,181.64555822856366,563.464383712852,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
IC2574,5.12,41.8,0.5,28.330981274922337,944.5954999999997,allow_signed,1.0,184.49130859374992,613.1554781395039,180.3174600165991,614.1392062671749,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
IC2574,5.41,42.9,0.4,28.89540620929216,1005.4654999999998,allow_signed,1.0,185.8531423290203,666.8554235233056,185.78744790218667,667.2244179153988,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
IC2574,5.68,44.4,1.7,29.920482950647703,1076.1247,allow_signed,1.0,189.458573943662,717.5225052201176,192.16163881789203,718.2475446226093,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
IC2574,5.97,46.1,1.3,30.779416823585205,1177.8375,allow_signed,1.0,197.29271356783923,773.6014419092853,204.07311872112103,775.7015844657662,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
IC2574,6.26,49.0,0.9,31.710763157010273,1395.4274999999998,allow_signed,1.0,222.91174121405749,834.5310878526603,223.53319090184146,837.7044993610958,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
IC2574,6.54,51.9,0.6,32.47910867003588,1638.7175,allow_signed,1.0,250.5684250764526,900.8183111333318,243.367344623481,903.070574334641,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
IC2574,6.83,53.1,2.1,32.45592241795016,1766.2231000000002,allow_signed,1.0,258.5978184480235,974.6474164443808,256.3296048194222,975.526632003862,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
IC2574,7.1,54.0,0.5,32.57555218258011,1854.8334000000002,allow_signed,1.0,261.2441408450705,1044.8260809489484,266.2601914363451,1046.0762544983904,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
IC2574,7.39,55.9,1.1,32.749064108765,2052.3088000000002,allow_signed,1.0,277.7143166441137,1122.9750572848802,278.5917748312162,1125.0797896071867,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
IC2574,7.68,58.8,3.6,33.319059110365046,2347.2802999999994,allow_signed,1.0,305.6354557291666,1207.560774279006,282.6260948966962,1206.456380717734,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
IC2574,7.96,57.3,4.6,33.76046504419037,2143.5209999999997,allow_signed,1.0,269.28655778894466,1288.0498561715417,268.89240317597194,1283.6689704479077,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
IC2574,8.25,54.0,9.0,34.0532670972992,1756.3749999999998,allow_signed,1.0,212.89393939393938,1357.9660282630598,267.4443845066654,1361.4378046618901,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
IC2574,8.52,63.8,12.0,33.90553494637712,2920.8547,allow_signed,1.0,342.8233215962441,1432.9878584967344,289.6392063849821,1436.6440894322625,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
IC2574,8.81,60.5,6.2,34.00629500548391,2503.8219,allow_signed,1.0,284.20225879682175,1523.906567653729,296.38934399665834,1521.6182292376006,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
IC2574,9.1,61.0,5.7,34.217640187482246,2550.1531,allow_signed,1.0,280.2366043956044,1605.7502028166307,299.2865169899681,1607.9912290806612,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
IC2574,9.38,66.0,1.3,34.77264729640238,3146.8630000000003,allow_signed,1.0,335.486460554371,1691.9514319096277,311.7352806196322,1693.5342807460056,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
IC2574,9.67,65.2,3.4,35.80586125203526,2968.9803,allow_signed,1.0,307.0300206825233,1785.116321688977,316.8887634779819,1784.6847671401595,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
IC2574,9.96,67.1,4.7,35.81432115788319,3219.7443999999996,allow_signed,1.0,323.2675100401606,1876.5094636437664,317.93546796627675,1876.7342806995773,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
IC2574,10.23,67.5,9.3,36.23216526789422,3243.4802,allow_signed,1.0,317.05573802541545,1962.953102132619,318.09426458152257,1962.59829459353,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
