galaxy_id,r_kpc,v_obs_kms,v_err_kms,v_bar_kms,residual_v2_kms2,residual_policy_applied,K_tau,dtaudr_reconstructed,tau_reconstructed,dtaudr_smoothed_diagnostic,tau_smoothed_diagnostic,negative_residual_flag,data_source,data_mode,reconstruction_stage
NGC3198,0.32,24.4,35.9,63.28,-3408.9984000000004,allow_signed,1.0,-10653.12,0.0,-9040.500216165376,0.0,True,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
NGC3198,0.64,43.3,16.3,73.66,-3550.9056,allow_signed,1.0,-5548.29,-2592.2256,-6616.17657251013,-2505.068286188081,True,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
NGC3198,0.96,45.5,16.1,78.98,-4167.590400000001,allow_signed,1.0,-4341.240000000002,-4174.5504,-4425.715112731688,-4271.770955826772,True,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
NGC3198,1.28,58.5,15.4,82.70074062546236,-3417.1625000000004,allow_signed,1.0,-2669.6582031250005,-5296.294112500001,-2848.1067469996774,-5435.58245338379,True,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
NGC3198,1.61,68.8,7.61,84.22013357861645,-2359.5908999999992,allow_signed,1.0,-1465.5844099378876,-5978.609143655377,-1637.9770041766703,-6175.786272327888,True,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
NGC3198,1.93,76.9,10.3,83.17001502945638,-1003.6413999999995,allow_signed,1.0,-520.0214507772018,-6296.306081369791,-823.1937784241281,-6569.573597544016,True,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
NGC3198,2.24,82.0,8.09,87.04126894755154,-852.1825000000008,allow_signed,1.0,-380.4386160714289,-6435.877391731329,-370.7927437169594,-6754.641508475885,True,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
NGC3198,2.57,86.9,7.6,88.91507521224958,-354.28059999999823,allow_signed,1.0,-137.85237354085535,-6521.395405017356,-25.793514218832733,-6820.07824103529,True,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
NGC3198,2.89,97.6,3.03,88.99149004258778,1606.2746999999972,allow_signed,1.0,555.8043944636669,-6454.523081669706,275.1760124904358,-6780.177041311834,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
NGC3198,3.21,100.0,5.31,93.81692651115787,1198.3843000000033,allow_signed,1.0,373.3284423676023,-6305.861827776703,370.7208100624253,-6676.833549703376,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
NGC3198,3.54,107.0,7.51,101.22075133094005,1203.3594999999987,allow_signed,1.0,339.9320621468923,-6188.1738445318115,321.6238922993826,-6562.596673813678,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
NGC3198,3.85,113.0,7.32,108.53059706829222,990.1094999999987,allow_signed,1.0,257.1712987012983,-6095.622823600342,223.3320218852431,-6478.1285071150605,False,SPARC_Lelli2016,observational_raw_ingestion,phase_2a_radial_reconstruction
